family,n,p,amplitude,qextra,field,multi,canonical_error,mean_error,mean_to_canonical,change_over_error,change_l2,canonical_relative,floor
quad,2.0,3.0,0.0,0.0,sine,xy,0.05550654829831831,0.05550654829831329,0.9999999999999095,5.973722868776594e-13,3.315807369365166e-14,0.013122885046680868,0.004229200683530373
quad,2.0,3.0,0.0,0.0,sine,xxy,0.397486421434565,0.3974864214346251,1.0000000000001512,8.939770389798928e-13,3.5534373406878617e-13,0.046702774881001705,0.008534427302855722
quad,2.0,3.0,0.0,0.0,sine,xyy,1.2416021503655705,1.2416021503653922,0.9999999999998564,5.778021801624528e-13,7.174004293756162e-13,0.09725492091195337,0.012801640954283607
quad,2.0,3.0,0.0,0.0,exponential,xy,0.0005467538639929591,0.0005467538639783638,0.9999999999733055,1.564089222216777e-10,8.551718258767648e-14,0.0004667360055420742,1.4303290843673469e-05
quad,2.0,3.0,0.0,0.0,exponential,xxy,0.01276050621741983,0.012760506217171168,0.9999999999805131,7.543268098613165e-11,9.625591947201795e-13,0.010892996086242623,1.4303290843673469e-05
quad,2.0,3.0,0.0,0.0,exponential,xyy,0.001647847430942504,0.0016478474308308957,0.9999999999322703,1.1282229227161462e-09,1.8591392447282447e-12,0.002813367324170489,7.1516454218367345e-06
quad,2.0,3.0,0.0,0.0,cubic,xy,1.0881569427618678e-13,1.0692474463323134e-13,0.9826224548257166,0.174850060132681,1.9026430687570693e-14,5.0371878465799324e-14,2.043894823325463e-15
quad,2.0,3.0,0.0,0.0,cubic,xxy,1.4909788818898304e-12,1.3470922661742668e-12,0.9034952020694043,0.17124943497631132,2.5532929108524587e-13,7.45489440944915e-13,1.9613331499360424e-15
quad,2.0,3.0,0.0,0.0,cubic,xyy,1.6003143476417898e-12,1.557769223551524e-12,0.9734145206203019,0.22778022673035944,3.6451996494569415e-13,8.001571738208947e-13,1.9613331499360424e-15
quad,4.0,3.0,0.0,0.0,sine,xy,0.007021030480919616,0.007021030480914018,0.9999999999992026,1.738706350349878e-11,1.2207510283174993e-13,0.0016599154286295597,0.00026909052903919574
quad,4.0,3.0,0.0,0.0,sine,xxy,0.0955034169648684,0.09550341696513193,1.0000000000027593,2.7320245613849726e-11,2.6091768084421074e-12,0.011221199875908111,0.0005417683103264204
