active_elements,cadence,case,cell_average_l2_error,cfl,conservation_drift,dimension,dofs,downwind_l2_error,elements,exit_code,filter_applications,id,l1_error,l2_error,limited_elements,linf_error,max,maximum,method,min,min_density,min_pressure,minimum,n,order,peak_mib,positivity_applications,problem,profile_prefix,program,ranks,rejected_steps,runtime_seconds,state_l2_error,status,steps,tf,time,wall_seconds
0,step,smooth_advection,6.294847207991124e-06,0.15,3.33066907387547e-16,1,96,6.416435552728079e-06,32,0,0,smooth_advection_dg_p2_n32_c0.15,7.95709122188641e-05,0.0001046236818681734,,0.0002278794278732788,,0.9997255250676564,dg,,,,0.0002744749323462074,32,2,0.546875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p2_n32_c0.15,advection,1,,0.1071881666666667,,ok,1174,1.1,1.1,0.23654287494719028
0,step,smooth_advection,0.001484804689412,0.15,4.440892098500626e-16,1,96,0.00152633724651416,32,0,1174,smooth_advection_ofdg_p2_n32_c0.15,0.00136847301710771,0.001527504621310042,,0.002294661557115774,,0.9992122697788877,ofdg,,,,0.0007877302211118712,32,2,0.546875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p2_n32_c0.15,advection,1,,0.1410399583333334,,ok,1174,1.1,1.1,0.2295655410271138
9740,step,smooth_advection,0.0004825892018097273,0.15,2.220446049250313e-16,1,96,0.0005200910990855195,32,0,1174,smooth_advection_ofdg-kxrcf_p2_n32_c0.15,0.0003410059941478436,0.0005340257524197494,,0.001717386574611235,,0.999721104407557,ofdg-kxrcf,,,,0.0008792849811654442,32,2,0.546875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p2_n32_c0.15,advection,1,,0.1419680833333334,,ok,1174,1.1,1.1,0.22750024998094887
0,step,smooth_advection,1.990976958267148e-07,0.15,9.436895709313831e-16,1,192,2.019614670345508e-07,64,0,0,smooth_advection_dg_p2_n64_c0.15,9.707269158540808e-06,1.30598435560186e-05,,2.889307023568044e-05,,0.9999023377256516,dg,,,,9.766227435198044e-05,64,2,18.75,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p2_n64_c0.15,advection,1,,0.40211525,,ok,2347,1.1,1.1,0.667379833990708
0,step,smooth_advection,7.904598041240668e-05,0.15,6.106226635438361e-16,1,192,7.97178814406534e-05,64,0,2347,smooth_advection_ofdg_p2_n64_c0.15,7.148605091426651e-05,8.091244576920874e-05,,0.0001354066157796541,,0.9998841375871682,ofdg,,,,0.0001158624128334837,64,2,19.359375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p2_n64_c0.15,advection,1,,0.5715925833333334,,ok,2347,1.1,1.1,0.6836223329883069
14990,step,smooth_advection,7.35042201227211e-06,0.15,8.326672684688674e-16,1,192,7.945801222525673e-06,64,0,2347,smooth_advection_ofdg-kxrcf_p2_n64_c0.15,1.178984487499306e-05,1.5368060316842e-05,,3.731153275125798e-05,,0.9999023376604387,ofdg-kxrcf,,,,0.0001244068142564193,64,2,18.96875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p2_n64_c0.15,advection,1,,0.5461545,,ok,2347,1.1,1.1,0.6746257080230862
0,step,smooth_advection,6.243256133067507e-09,0.15,1.110223024625157e-15,1,384,6.325217689549669e-09,128,0,0,smooth_advection_dg_p2_n128_c0.15,1.209507695625218e-06,1.632396912710725e-06,,3.616006882145584e-06,,0.99998158649703,dg,,,,1.841350297602429e-05,128,2,19.046875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p2_n128_c0.15,advection,1,,1.636847416666667,,ok,4694,1.1,1.1,1.7958253329852596
0,step,smooth_advection,4.437269487665639e-06,0.15,1.554312234475219e-15,1,384,4.45402500823215e-06,128,0,4694,smooth_advection_ofdg_p2_n128_c0.15,4.135272821808493e-06,4.768065569498337e-06,,9.124638437135735e-06,,0.9999810812469089,ofdg,,,,1.891875309612436e-05,128,2,19.390625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p2_n128_c0.15,advection,1,,2.133086833333333,,ok,4694,1.1,1.1,2.250500207999721
20976,step,smooth_advection,8.724498796533019e-08,0.15,1.443289932012704e-15,1,384,9.440804627238449e-08,128,0,4694,smooth_advection_ofdg-kxrcf_p2_n128_c0.15,1.220375581157438e-06,1.635223545045278e-06,,3.616016175267411e-06,,0.9999815864970272,ofdg-kxrcf,,,,1.894601607854115e-05,128,2,19.375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p2_n128_c0.15,advection,1,,2.26978075,,ok,4694,1.1,1.1,2.472010541940108
0,step,smooth_advection,1.953417719923247e-10,0.15,1.887379141862766e-15,1,768,1.978552477369075e-10,256,0,0,smooth_advection_dg_p2_n256_c0.15,1.5108033548391e-07,2.040508628832665e-07,,4.519835500316205e-07,,0.9999939742983508,dg,,,,6.025701653415063e-06,256,2,19.25,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p2_n256_c0.15,advection,1,,6.410808458333334,,ok,9387,1.1,1.1,6.513549166964367
0,step,smooth_advection,2.628367306733162e-07,0.15,2.442490654175344e-15,1,768,2.635324891384381e-07,256,0,9387,smooth_advection_ofdg_p2_n256_c0.15,2.738026109372365e-07,3.36260350102849e-07,,7.301289482175566e-07,,0.9999939622867701,ofdg,,,,6.037713240812319e-06,256,2,19.5,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p2_n256_c0.15,advection,1,,8.667017458333333,,ok,9387,1.1,1.1,8.764982957975008
