family,n,p,amplitude,basis,map,qextra,evalextra,field,derivative,error_l2,relative_l2,error_l1,sampled_linf,relative_sampled_linf,truth_l2,best_projection_l2,excess_over_projection_l2,input_error_l2,input_l2,scaled_l2,face_rms,face_relative_l2,face_sampled_linf,weak_residual,min_jacobian,volume,elements,dofs
quad,16,4,1.2,gll,coupled,0,0,sine,x,7.0179356046610374e-07,4.9474454824033208e-07,3.3127471906012266e-07,8.9451232832549188e-06,4.4725616416390061e-06,1.4184968039813415,9.3440820804605849e-09,7.0173135148806504e-07,5.6748412787009076e-09,0.70495865430086158,6.2219390118178561e-08,1.8439747589158065e-06,1.2841928768408319e-06,9.2505348733840087e-06,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,y,1.976730220824576e-06,9.2902581346508393e-07,9.8613446608933895e-07,1.8902106362961302e-05,6.300702121003367e-06,2.1277452059720066,1.4016123120639889e-08,1.9766805291139937e-06,5.6748412787009076e-09,0.70495865430086158,1.7525231876763274e-07,5.342767354952823e-06,2.4805631590757115e-06,1.955318628316105e-05,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,xx,0.00017081009662148639,6.057450872451742e-05,8.212837265944334e-05,0.0016013655679869565,0.00040034139199940274,2.8198346172034463,2.2699365115971378e-08,0.0001708100951132083,5.6748412787009076e-09,0.70495865430086158,9.4647669882058469e-07,0.00037270840909201322,0.00013385710904969305,0.0016325670196359887,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,xy,2.9912180806817995e-05,7.0718522815315454e-06,1.6532469794538118e-05,0.00024776635578405148,4.1294392630949991e-05,4.2297519258052061,3.4049047673492249e-08,2.9912161427712842e-05,5.6748412787009076e-09,0.70495865430086158,1.6574653784839704e-07,6.8140566712526659e-05,1.6314986991872505e-05,0.00025111934585098084,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,yy,0.00050776463662516606,8.00306409661776e-05,0.00025858862973590087,0.0037220827519863775,0.00041356475022346023,6.3446278887077341,5.1073571514468089e-08,0.00050776463405655364,5.6748412787009076e-09,0.70495865430086158,2.8135772214671724e-06,0.0011223374959965652,0.00017914851148729491,0.0037949163769432914,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,xxx,0.025622671326818877,0.0045158140742550291,0.014614407557498101,0.16339417422295721,0.02042427177792238,5.6739872159253659,3.7376328324916593e-08,0.025622671326791451,5.6748412787009076e-09,0.70495865430086158,8.8736196849771684e-06,0.045766108648168255,0.0079681826503494903,0.16520010263393603,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,xxy,0.0019125601187157534,0.0002247167698166718,0.0011761357003028528,0.011717043675485428,0.00097642030629297306,8.5109808238880262,5.6064492490241292e-08,0.0019125601178941257,5.6748412787009076e-09,0.70495865430086158,6.6235604015162672e-07,0.0036283364577441952,0.0004211449398722224,0.011850164488221182,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,xyy,0.0045197102366870117,0.00035402971997472774,0.0026052511171812736,0.030224639370356243,0.0016791466316907928,12.766471235831979,8.4096738725710729e-08,0.0045197102359046401,5.6748412787009076e-09,0.70495865430086158,1.5652618423388243e-06,0.0082950165552633879,0.00064187436659377927,0.030558039506075829,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,sine,yyy,0.077753961992391582,0.0040603212668591342,0.046257207681217119,0.4253626355390896,0.015754171686673618,19.149706853748114,1.2614510809523241e-07,0.077753961992288692,5.6748412787009076e-09,0.70495865430086158,2.6927679745807081e-05,0.13833757153683304,0.0071364407384241213,0.43007279921716801,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
quad,16,4,1.2,gll,coupled,0,0,shortwave,x,0.00017572997773104992,3.1077203758956255e-05,8.6181960219999196e-05,0.0023039738277397248,0.00028799672847277516,5.6546264295224962,4.2833227402165872e-06,0.00017567776814299919,5.2908956899985792e-07,0.70738514905409855,1.55263700727631e-05,0.00046560638859976351,8.2333057506767332e-05,0.0023829965111747953,1.7499023063916042e-16,0.0027347274561134861,1.0000000000000095,256,6400
