family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
tri,4,3,1.2,gll,coupled,8,sine,x,recursive,0.015197745589659806,0.010713979437249253,0.24798337766268419,1.4184968039813348,0.03183075154471314,0.022274505759648282,0.043237034422472564,0.027458873525187669,0.00034121672209163636,0.00062008573876294148,0.00043687941742231572,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,x,direct,0.015232360241047441,0.010738381784360984,0.24715752367860244,1.4184968039813348,0.031930982214070702,0.022344645122168896,0.043301110364819206,0.027503504846794345,0.00034121672209163636,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,x,fe_geometry,0.015232360241025597,0.010738381784345585,0.24715752367857802,1.4184968039813348,0.031930982214046791,0.022344645122152163,0.043301110364786455,0.027503504846711688,0.00034121672209163636,2.0799835401835282e-13,1.465445728676534e-13,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,y,recursive,0.018008479402510734,0.0084636446845071881,0.27099403305675862,2.1277452059720194,0.037113261517637115,0.017314065116615134,0.046572893353066934,0.029335901594941014,0.00034121672209163636,0.00065256602528501685,0.00030651833655548534,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,y,direct,0.018048604201043979,0.0084825025808477027,0.27483130308999248,2.1277452059720194,0.037236460852012203,0.01737154002478725,0.046706943850821026,0.029354952465970887,0.00034121672209163636,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,y,fe_geometry,0.018048604201031979,0.0084825025808420614,0.27483130308965809,2.1277452059720194,0.037236460851978827,0.017371540024771683,0.046706943850788933,0.029354952465890181,0.00034121672209163636,1.8760688058807612e-13,8.8121273152558958e-14,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,xx,recursive,0.39792751305298352,0.1411173232023176,3.8856105043009537,2.8198346172034556,0.66037609070882752,0.23597523065165882,0.90038956584789798,0.6191877545476957,0.00034121672209163636,0.033533805095207703,0.011534079034538351,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,xx,direct,0.4007277524358504,0.14211037413012129,4.2007053156027592,2.8198346172034556,0.66880095564342845,0.23898572644961782,0.89718566727840177,0.6121216480792494,0.00034121672209163636,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,xx,fe_geometry,0.40072775243272379,0.14211037412901251,4.2007053155170899,2.8198346172034556,0.66880095563806463,0.23898572644770114,0.89718566727013527,0.6121216480717433,0.00034121672209163636,1.0394908400731401e-11,3.5753680416051819e-12,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
tri,4,3,1.2,gll,coupled,8,sine,xy,recursive,0.32017042195630496,0.075694846310722333,2.816103878566921,4.2297519258051803,0.57832708464145954,0.1377708542252907,0.58947895844977805,0.41415850416293126,0.00034121672209163636,0.035968618254007628,0.008396010379724381,4.4408920985006262e-16,1.4210854715202004e-14,2.5363400355510269e-12,3.907985046680551e-14,0.043750051210224628,32,6.1397831263576563e-12,9.6178620623277311e-13,9.9920072216264089e-16,7.1452510574943062e-11,3.3037310140492243e-12,5.595524044110789e-14,0.10256633610697463,1.6270261438039597
