family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
hex,4,3,0.20000000000000001,gll,shear,8,constant,x,recursive,7.8775103133894218e-14,nan,6.5855056004455906e-13,0,1.3561307054687309e-13,nan,2.1408923952788842e-13,1.7264894487970937e-13,6.5902559063581817e-15,4.6297990523869443e-14,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,x,direct,7.6536781114006355e-14,nan,6.789996822332896e-13,0,1.3389472151370463e-13,nan,1.9526624404360902e-13,1.4738689605145965e-13,6.5902559063581817e-15,0,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,x,fe_geometry,7.6536781114006355e-14,nan,6.7899968223329253e-13,0,1.3389472151370468e-13,nan,1.9526624404360909e-13,1.473868960514597e-13,6.5902559063581817e-15,1.0476470028462073e-28,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,y,recursive,8.7004742263759884e-14,nan,1.2519862975706595e-12,0,1.6279620423695276e-13,nan,2.2268814504417087e-13,1.644597917346049e-13,6.5902559063581817e-15,4.2880504576504725e-14,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,y,direct,8.3270989507940721e-14,nan,8.4798281458596754e-13,0,1.5361314826856302e-13,nan,2.0908708611167264e-13,1.4735732257311381e-13,6.5902559063581817e-15,0,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,y,fe_geometry,8.3270989507940734e-14,nan,8.4798281458596512e-13,0,1.5361314826856302e-13,nan,2.0908708611167269e-13,1.4735732257311379e-13,6.5902559063581817e-15,1.2026380118554809e-28,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,z,recursive,2.449272749097852e-13,nan,2.1490232554433605e-12,0,4.5877950711996359e-13,nan,2.0690449652332791e-13,1.4816034969716046e-13,6.5902559063581817e-15,4.1020483069251e-14,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,z,direct,2.4507872141043153e-13,nan,1.9626157613335933e-12,0,4.6002709291042687e-13,nan,1.8001814511290548e-13,1.2640084070307259e-13,6.5902559063581817e-15,0,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,z,fe_geometry,2.4507872141043148e-13,nan,1.9626157613335901e-12,0,4.6002709291042697e-13,nan,1.8001814511290556e-13,1.2640084070307275e-13,6.5902559063581817e-15,1.2771491168551986e-28,nan,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
hex,4,3,0.20000000000000001,gll,shear,8,constant,xx,recursive,2.2180513491843508e-12,nan,2.2720596378939654e-11,0,3.6836291524766208e-12,nan,4.14285387855635e-12,3.0698953357115792e-12,6.5902559063581817e-15,2.1186291913647835e-12,1.6421296952008371,0,3.2862601528904634e-14,2.3503421431314564e-13,5.3290705182007514e-15,0.015624999999999814,64,9.8656855845733988e-14,1.5099033134902129e-14,1.1102230246251565e-15,7.8333173281208701e-14,2.3503421431314564e-13,3.5527136788005009e-15,1.3989432920352556,47.513424770528218
