family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
quad,4,4,1.2,gll,coupled,0,sine,x,recursive,0.00017512043418862436,0.00012345493743595937,0.0018764833647445522,1.4184968039813377,0.00046347658481563005,0.00032237914923213563,0.00042241962048926164,0.00024299721981389821,5.8505528621889864e-06,1.3001278965383764e-05,9.1655151993268509e-06,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,x,direct,0.00017574982296114229,0.00012389863866302692,0.0018703162656652506,1.4184968039813377,0.00046431589308290334,0.00032296294460392274,0.000421453242266194,0.00025495879024175404,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,x,fe_geometry,0.0001757498229567741,0.00012389863865994746,0.0018703162656670269,1.4184968039813377,0.00046431589306834885,0.00032296294459379911,0.00042145324222703158,0.00025495879021345062,5.8505528621889864e-06,4.4591843032187928e-14,3.1435923816857476e-14,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,y,recursive,0.00051170837329018082,0.00024049325636074889,0.0049504325795513004,2.1277452059720092,0.0013825859710658846,0.00064112104572993831,0.0010436791066562505,0.00061106581203779653,5.8505528621889864e-06,5.9440840325159837e-06,2.7936350362871046e-06,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,y,direct,0.00051180148533011333,0.0002405370172582808,0.0049504191149900567,2.1277452059720092,0.0013828055442392897,0.00064122286434049392,0.0010292181452392884,0.00060706015415892519,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,y,fe_geometry,0.00051180148532609581,0.00024053701725639264,0.0049504191149529753,2.1277452059720092,0.0013828055442289854,0.00064122286433571584,0.0010292181451575916,0.00060706015408902179,5.8505528621889864e-06,4.6180686105584957e-14,2.1704266292098773e-14,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xx,recursive,0.010785518534427012,0.0038248762777171063,0.089623213750646524,2.8198346172034601,0.023743265855851764,0.0085385573070140466,0.036034206315314184,0.020509846872004332,5.8505528621889864e-06,0.00026446288072204675,9.378784514321442e-05,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xx,direct,0.010799039490708012,0.003829671224271245,0.08918953566681731,2.8198346172034601,0.023803836196281108,0.0085603396231453324,0.036342000576735096,0.020625416727593798,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xx,fe_geometry,0.01079903949047193,0.0038296712241875229,0.089189535666462483,2.8198346172034601,0.023803836195838386,0.0085603396229861194,0.036342000575534564,0.020625416726813471,5.8505528621889864e-06,1.8114798840052718e-12,6.4241452099924623e-13,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xy,recursive,0.0020630162687219336,0.0004877393059710515,0.014843533528534181,4.2297519258051723,0.0048894699238889935,0.0011722346706503669,0.0078833761479035654,0.0055550024391788615,5.8505528621889864e-06,0.0012789486805590482,0.00030237009518494835,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xy,direct,0.0024064148877008238,0.0005689257738780366,0.019711241840497884,4.2297519258051723,0.0059900036638607266,0.0014360840912004934,0.0053093295092901775,0.0040256376918580729,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xy,fe_geometry,0.0024064148876521713,0.00056892577386653419,0.019711241841235072,4.2297519258051723,0.0059900036637307646,0.0014360840911693353,0.0053093295090190324,0.0040256376915679924,5.8505528621889864e-06,5.0199019091477825e-13,1.1868093232831168e-13,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yy,recursive,0.032845337155040587,0.0051768736845070251,0.252314039689435,6.3446278887077625,0.072641438592483981,0.011610367336274968,0.12123428805685613,0.068508739702613397,5.8505528621889864e-06,0.00039634111998129625,6.2461273519746319e-05,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yy,direct,0.032852353288192984,0.0051779795229069236,0.25228343104788475,6.3446278887077625,0.072654498772835155,0.011612454760399451,0.1220293131767379,0.068874657470010037,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yy,fe_geometry,0.032852353288019304,0.0051779795228795496,0.25228343104706319,6.3446278887077625,0.072654498772524043,0.011612454760349725,0.12202931317641616,0.068874657469820522,5.8505528621889864e-06,8.9111083020948192e-13,1.4043437457296717e-13,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxx,recursive,0.41179546639385667,0.072576029998456457,2.5170707286582283,5.6739872159253499,0.74653834118790596,0.12981691156904088,0.58678543836323693,0.30667868390171577,5.8505528621889864e-06,0.015899314936410381,0.0028203202537444767,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxx,direct,0.41388377659473113,0.072944079858528951,2.4960654096335206,5.6739872159253499,0.75470210957050221,0.13123652411902359,0.54716352065152352,0.28679811302054004,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxx,fe_geometry,0.41388377659401843,0.072944079858403343,2.4960654096181107,5.6739872159253499,0.75470210957559325,0.13123652411990888,0.54716352063880336,0.28679811300808505,5.8505528621889864e-06,5.0857759862587043e-11,9.0214685836590384e-12,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxy,recursive,0.05095576057069269,0.0059870609069725038,0.31110017867847795,8.5109808238880351,0.1098806885169917,0.012738235343374234,0.18751204602342178,0.14384272295532896,5.8505528621889864e-06,0.011819792399705504,0.0013891191394183834,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxy,direct,0.053089892008882568,0.0062378112590588276,0.40723576356483715,8.5109808238880351,0.11540191283540838,0.013378299177163159,0.19637960898932791,0.1523368031533669,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xxy,fe_geometry,0.053089892006423195,0.0062378112587698643,0.40723576352509205,8.5109808238880351,0.11540191283051111,0.013378299176595431,0.19637960897555795,0.15233680313920639,5.8505528621889864e-06,1.9206468519059515e-11,2.2572370239875762e-12,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xyy,recursive,0.084797359021348592,0.0066421924629685627,0.45071172155992301,12.766471235832048,0.16898346095554787,0.013059929661536457,0.22880975333403589,0.15645870435490658,5.8505528621889864e-06,0.088006520820727088,0.0068907006304672561,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xyy,direct,0.1234305252926997,0.0096683353616356747,0.7557168133796921,12.766471235832048,0.26569692381579657,0.020534454180895931,0.46569282568153536,0.30263627367683349,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,xyy,fe_geometry,0.12343052529242908,0.0096683353616144781,0.75571681338203867,12.766471235832048,0.26569692381556154,0.020534454180877765,0.46569282568219172,0.30263627367614793,5.8505528621889864e-06,1.7344194186686004e-11,1.3580090282241471e-12,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yyy,recursive,1.2596150023471357,0.065777247242852527,7.4325215439398811,19.149706853748089,2.2476309734326638,0.11580582009676864,1.6338551937916792,0.94410828598230645,5.8505528621889864e-06,0.028619287180330636,0.0014816175990586178,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yyy,direct,1.26020515558167,0.06580806511589056,7.4308634366566153,19.149706853748089,2.2492405722166575,0.11588875226375263,1.5357631337813398,0.88446522663236316,5.8505528621889864e-06,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,sine,yyy,fe_geometry,1.2602051555783378,0.06580806511571656,7.4308634366471153,19.149706853748089,2.2492405722114848,0.11588875226348613,1.5357631337702757,0.88446522662253635,5.8505528621889864e-06,1.5186185594595541e-11,7.8618729033150139e-13,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,x,recursive,0.041036370424880349,0.0072571320026787569,0.40142683955517899,5.6546264295224313,0.10931173444762475,0.019309627284389019,0.16510891312665926,0.094594628894742308,0.00049022319453147104,0.00053630127419359631,9.4900080918756196e-05,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,x,direct,0.041064536204103552,0.007262113017706762,0.40060787027570832,5.6546264295224313,0.10936960518196681,0.019319849995760915,0.16446997384950013,0.094251820438125675,0.00049022319453147104,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,x,fe_geometry,0.041064536204102997,0.0072621130177066631,0.40060787027566214,5.6546264295224313,0.10936960518196973,0.019319849995761428,0.1644699738493714,0.094251820438029293,0.00049022319453147104,1.1986460106929809e-13,2.1210392158539914e-14,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,y,recursive,0.0165912251994546,0.0039121299832959961,0.2052937085943789,4.240969822141845,0.044601647935601757,0.010505016712164738,0.062181553393820567,0.040377865619892886,0.00049022319453147104,0.00075935564870853272,0.00017910009503062271,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,y,direct,0.01661737116929211,0.0039182950754645387,0.20470705938851275,4.240969822141845,0.044571855720314656,0.010497999757994451,0.061653083917590501,0.040301227990508635,0.00049022319453147104,0,0,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
quad,4,4,1.2,gll,coupled,0,shortwave,y,fe_geometry,0.016617371169277098,0.003918295075460999,0.20470705938834577,4.240969822141845,0.044571855720273765,0.010497999757984818,0.06165308391744178,0.040301227990370371,0.00049022319453147104,1.1739543393026842e-13,2.7688650777578661e-14,2.2204460492503131e-16,2.1316282072803006e-14,1.9661800354758669e-13,3.5527136788005009e-15,0.04377254903887963,16,2.6246950348661853e-12,1.1268763699945339e-13,8.8817841970012523e-16,1.7106233096697565e-11,2.4530493514222996e-13,1.9095836023552692e-14,0.006536125933052972,0.16268845956074074
