rank,element,sample,x,y,value
0,0,polynomial,0.009530965507039876,0.0095309655070398725,0.99425354486359041
0,0,polynomial,0.042277280407407296,0.01000241918901216,0.96922964243617471
0,0,polynomial,0.07499865554928678,0.01044893311249648,0.92698447362993786
0,0,polynomial,0.01000241918901216,0.042277280407407296,0.96922249535260829
0,0,polynomial,0.044345949383857344,0.044345949383857344,0.91679194547341525
0,0,polynomial,0.078580047609800738,0.046305186391405601,0.84820266542574796
0,0,polynomial,0.01044893311249648,0.07499865554928678,0.92688850312826365
0,0,polynomial,0.046305186391405601,0.078580047609800752,0.84930123936825996
0,0,polynomial,0.081971985103608841,0.081971985103608855,0.75762295550132253
0,0,cell_average,0.044345949383857344,0.044345949383857344,0.90568604221794846
0,0,center,0.044345949383857344,0.044345949383857344,0.91679194547341525
0,1,polynomial,0.094023298738000902,0.010689965404667533,0.89213071048337667
0,1,polynomial,0.12666822776350312,0.01106003321177464,0.81927438044967382
0,1,polynomial,0.15924502010168773,0.011361964331564106,0.73868172324708037
0,1,polynomial,0.098421272529106277,0.047362800414168071,0.79833216694786469
0,1,polynomial,0.1323199365112061,0.04898660317787281,0.70116655639785097
0,1,polynomial,0.16591962679429403,0.050311432242565568,0.60271520098004094
0,1,polynomial,0.10258659482467614,0.083802983928133082,0.69594322306210621
0,1,polynomial,0.13767267155989718,0.086614199444959017,0.58238638135607301
0,1,polynomial,0.17224114879315186,0.08890781545981849,0.47257006665831908
0,1,cell_average,0.1323199365112061,0.04898660317787281,0.69811535212716225
0,1,center,0.1323199365112061,0.04898660317787281,0.70116655639785097
0,2,polynomial,0.1048350738255054,0.10483507382550541,0.62523627610872312
0,2,polynomial,0.14056212680488159,0.10828726558648644,0.50469857474089053
0,2,polynomial,0.17565356407799776,0.11110384164120747,0.3914412458589086
0,2,polynomial,0.10828726558648645,0.14056212680488156,0.50343322633120191
0,2,polynomial,0.14499843845679369,0.14499843845679369,0.37665003478757147
0,2,polynomial,0.18089279999127331,0.14861793877287821,0.2655529927264631
0,2,polynomial,0.11110384164120747,0.17565356407799779,0.39438532480034233
0,2,polynomial,0.14861793877287821,0.18089279999127331,0.26747262905842273
0,2,polynomial,0.18516739058185308,0.18516739058185311,0.16450320165438559
0,2,cell_average,0.14499843845679369,0.14499843845679369,0.38621796575781753
0,2,center,0.14499843845679369,0.14499843845679369,0.37665003478757147
0,3,polynomial,0.01068996540466753,0.094023298738000902,0.88893784654823038
0,3,polynomial,0.047362800414168085,0.098421272529106277,0.79576756751806554
0,3,polynomial,0.083802983928133082,0.10258659482467614,0.69255896693583052
0,3,polynomial,0.01106003321177464,0.12666822776350309,0.81342690856403321
0,3,polynomial,0.04898660317787281,0.1323199365112061,0.69715671639961629
0,3,polynomial,0.086614199444959017,0.13767267155989721,0.57786492389176647
0,3,polynomial,0.01136196433156411,0.15924502010168776,0.73435770087611274
0,3,polynomial,0.050311432242565561,0.16591962679429401,0.6027662198478323
0,3,polynomial,0.08890781545981849,0.17224114879315186,0.47303816741760224
0,3,cell_average,0.04898660317787281,0.1323199365112061,0.69494550200925975
0,3,center,0.04898660317787281,0.1323199365112061,0.69715671639961629
0,4,polynomial,0.011501124390332459,0.17816779105699918,0.67816821678199357
0,4,polynomial,0.050922045983306199,0.18531385143157772,0.54024723733331137
0,4,polynomial,0.089964943124043462,0.19208188735391984,0.40804018248052254
0,4,polynomial,0.011670646952515271,0.21061217483757705,0.57977269365015083
0,4,polynomial,0.051665885895063504,0.21833255256173015,0.43525469074535789
0,4,polynomial,0.09125271916969796,0.22564452461796947,0.30467427166633176
0,4,polynomial,0.011747093068892486,0.24296348217234945,0.4923464872345224
0,4,polynomial,0.052001320138907042,0.25094284802396888,0.34587917543648689
0,4,polynomial,0.091833441146680142,0.25850010781334687,0.22015742018301981
0,4,cell_average,0.051665885895063504,0.21833255256173015,0.44334187884627047
0,4,center,0.051665885895063504,0.21833255256173015,0.43525469074535789
0,5,polynomial,0.11240200159760351,0.19573533493093684,0.33062609635309859
0,5,polynomial,0.15028616653638127,0.20134463865131949,0.20928190984888495
0,5,polynomial,0.18713754946514566,0.2059211603616887,0.11536453136415839
0,5,polynomial,0.11398339933398786,0.22959159388571634,0.23161515867698859
0,5,polynomial,0.1523183749679998,0.23565170830133308,0.12769862444303784
0,5,polynomial,0.18953756556717219,0.24059603768211049,0.05681160874609463
0,5,polynomial,0.1146965298685767,0.26257958563870026,0.15281823029034697
0,5,polynomial,0.1532347983647788,0.26884299291650721,0.067728041638174988
0,5,polynomial,0.19061985165275441,0.27395318498608778,0.020360033395878198
0,5,cell_average,0.1523183749679998,0.23565170830133308,0.14452987806572115
0,5,center,0.1523183749679998,0.23565170830133308,0.12769862444303784
