family,p,field,order,derivative,abs_l2,rel_l2,digits,face_rel_max,sample_rel_max
quad,2,sine,1,y,0.014784795994363753,0.006948574459416855,2.158104284317956,0.012617957896228521,0.022655964137730963
quad,2,sine,2,xx,0.3775440900618483,0.13388873509052604,0.873255961403432,0.1860172178500428,0.3297346852231344
quad,2,shortwave,1,x,0.2779901994916403,0.049161549919596835,1.308374433537467,0.0884200224240574,0.20530929923893246
quad,2,shortwave,2,xx,14.488589997963622,0.3200296458314111,0.4948097891030991,0.44047084105551076,0.9141827536550796
quad,2,exponential,1,y,0.0010440621542399727,0.0008912628359840755,3.0499942023777655,0.0016229332291249413,0.002158980954941587
quad,2,exponential,2,yy,0.05803084492840551,0.099075970171705,1.0040316662745696,0.1375026395474235,0.16063505835977823
quad,3,sine,1,y,0.0007670918682940102,0.000360518668372976,3.4430722417310906,0.0008058509521518538,0.0021307066214097657
quad,3,sine,2,yy,0.06729670091975679,0.010606879095231444,1.9744123815181842,0.01942175217371447,0.0442646268701143
quad,3,sine,3,xxx,1.1245063290441977,0.19818626412974857,0.7029264488385064,0.2762580137541408,0.49326329672855446
quad,3,shortwave,1,x,0.03145129334175207,0.005562046181786088,2.254765409500698,0.01233019889756999,0.035731754316918454
quad,3,shortwave,2,xx,2.6400594501797965,0.05831466629490223,1.2342222052768894,0.10351162931906067,0.26363495029998246
quad,3,shortwave,3,yyy,55.46070837714257,0.36326012617565817,0.43978227054428304,0.4960367394637396,1.3898127008675027
quad,3,exponential,1,y,1.4110233647464663e-05,1.2045189844269314e-05,4.919186350695206,2.913524438275106e-05,7.441348558717166e-05
quad,3,exponential,2,yy,0.0014874939091709801,0.002539596008940379,2.5952353641053767,0.004878237709747764,0.012890092450430981
quad,3,exponential,3,yyy,0.08963474037351035,0.30606650220415565,0.5141841996544401,0.45058442078007616,1.2354128534426123
quad,4,sine,1,y,3.167446180034078e-05,1.488639791617861e-05,4.827210376416904,3.9737539139002725e-05,9.95711078990338e-05
quad,4,sine,2,yy,0.004068056060345326,0.0006411811900877137,3.193019226743555,0.0014358675418676664,0.0032823477802107043
quad,4,sine,3,xxx,0.10259690144437468,0.018081976137770062,1.742754108217373,0.03199254199544566,0.08150828902030939
quad,4,shortwave,1,x,0.0027521012779980697,0.00048669904410121963,3.3127395067295224,0.0012912210955655463,0.0039267013644102055
quad,4,shortwave,2,xx,0.3397463967198473,0.007504451366905434,2.12468105252597,0.016341091922848983,0.04549729705125145
quad,4,shortwave,3,xxx,25.16443350554912,0.0695349690072119,1.1577967345823916,0.1222664509780942,0.3814317157001339
quad,4,exponential,1,y,3.018834679920282e-07,2.5770258478063995e-07,6.588881225413631,7.13079380549268e-07,1.083124290143e-06
quad,4,exponential,2,yy,4.2705260564139653e-05,7.291062411804633e-05,4.137209184169491,0.00016521240272130585,0.0002418039434777355
quad,4,exponential,3,yyy,0.00363266010966306,0.01240406977058332,1.9064357996022285,0.022633734378664023,0.03452610240159551
tri,2,sine,1,x,0.023442134328199242,0.016526039581057816,1.781831211411693,0.02809192668834036,0.12148791566473317
tri,2,sine,2,xx,0.6731027737041101,0.2387029259083494,0.622142257582844,0.3103172540085359,1.0226205415338003
tri,2,shortwave,1,y,0.43023246889734096,0.10144671783588752,0.99376199938294,0.1707229764165813,0.7187390745185269
tri,2,shortwave,2,yy,12.173476760859188,0.4780311442758664,0.3205438076838396,0.5982961062607226,1.449279615281203
tri,2,exponential,1,y,0.006428637371994946,0.005487801231381953,2.2606016271987732,0.009624891227393408,0.06696365683981152
tri,2,exponential,2,yy,0.2215396021042672,0.37823421383943673,0.4222391888447371,0.501396542617398,2.2087971722179027
tri,3,sine,1,x,0.0019847373121805595,0.001399183492419526,2.854125327309683,0.0029101067099263946,0.016720796788655127
tri,3,sine,2,xx,0.1026881528004236,0.03641637427029803,1.4387032961245045,0.06073953938236478,0.27036799815294266
tri,3,sine,3,xxx,2.4303947012465126,0.4283398267844228,0.3682115432812961,0.5609079001203776,2.6880802432034363
tri,3,shortwave,1,y,0.07725790175958576,0.018217036432616896,1.7395222731174549,0.03773221216865159,0.2178412515699029
tri,3,shortwave,2,yy,3.7687939580683856,0.14799394813058206,0.8297560437079593,0.23613900030241483,0.9847585434421308
tri,3,shortwave,3,yyy,87.74791537261964,0.5747369577963366,0.24053087516324925,0.7117758206016199,2.216375172110782
tri,3,exponential,1,y,0.0004353851955833725,0.00037166622943400596,3.429846898244479,0.0008039844183686202,0.006289137017458438
tri,3,exponential,2,yy,0.02740135879249386,0.04678229672062591,1.3299184608379062,0.08055542664576042,0.4993108729366981
tri,3,exponential,3,xyy,1.106212995240636,1.8886357049467246,-0.27614819583132527,2.6510803033712156,11.000831248720486
tri,4,sine,1,x,0.000152882334391373,0.0001077777080373209,3.9674710561948827,0.0002671458883008064,0.001993516752772506
tri,4,sine,2,xx,0.01269142956205385,0.004500770890826444,2.3467130940115997,0.009158370898529942,0.05487671082601494
tri,4,sine,3,xxx,0.4799345802188043,0.08458506548477213,1.072706310130108,0.13804578704912224,0.8340808124360256
tri,4,shortwave,1,y,0.011228412111355423,0.0026476048126380727,2.5771468381517977,0.006522119383468788,0.051093612136275016
tri,4,shortwave,2,yy,0.8739886199351495,0.03432000473480174,1.4644526609078856,0.06709910154685746,0.38437090413624636
tri,4,shortwave,3,yyy,32.278862846122195,0.2114221785728517,0.6748494563541392,0.32930075218615246,1.5646993183903786
tri,4,exponential,1,y,1.791681292697534e-05,1.52946732493303e-05,4.81545979671321,3.890409831976185e-05,0.0004309369984972958
tri,4,exponential,2,yy,0.001731519926220634,0.0029562212436092996,2.5292630664601994,0.006137562087817963,0.06185206843493262
tri,4,exponential,3,yyy,0.05689244339619068,0.1942647580565328,0.7116059784521206,0.33073558315100243,3.05054934137255
quad,2,represented_quadratic,1,x,0.0030780180601926942,0.0015306656639155602,2.8151196598393806,0.003865582546798645,0.005246223171189026
quad,2,represented_quadratic,2,xx,0.9219572100455149,0.04905831951929728,1.3092873325258,0.10022810463305581,0.10963038949169569
