family,map,field,p,n,amplitude,derivative,rate
quad,coupled,exponential,3.0,16.0,0.4,yy,2.0001453283914823
quad,coupled,exponential,3.0,16.0,0.4,xxx,0.9993369452450076
quad,coupled,exponential,3.0,16.0,0.4,xxy,1.8071590398444268
quad,coupled,exponential,3.0,16.0,0.4,xyy,1.8543809803308513
quad,coupled,exponential,3.0,16.0,0.4,yyy,0.9998548948246313
quad,coupled,sine,4.0,8.0,0.4,x,4.001013019111123
quad,coupled,sine,4.0,8.0,0.4,y,3.993697794275335
quad,coupled,sine,4.0,8.0,0.4,xx,2.9969219567710055
quad,coupled,sine,4.0,8.0,0.4,xy,3.37822704506402
quad,coupled,sine,4.0,8.0,0.4,yy,2.9933129320313347
quad,coupled,sine,4.0,8.0,0.4,xxx,1.997575213486069
quad,coupled,sine,4.0,8.0,0.4,xxy,2.8494294990432474
quad,coupled,sine,4.0,8.0,0.4,xyy,2.5912816911440495
quad,coupled,sine,4.0,8.0,0.4,yyy,1.993347006207909
quad,coupled,shortwave,4.0,8.0,0.4,x,3.949202691117978
quad,coupled,shortwave,4.0,8.0,0.4,y,3.9891603098508455
quad,coupled,shortwave,4.0,8.0,0.4,xx,2.9485477331183483
quad,coupled,shortwave,4.0,8.0,0.4,xy,3.6628735536222443
quad,coupled,shortwave,4.0,8.0,0.4,yy,2.9631157044845495
quad,coupled,shortwave,4.0,8.0,0.4,xxx,1.948297288692688
quad,coupled,shortwave,4.0,8.0,0.4,xxy,2.812777727064685
quad,coupled,shortwave,4.0,8.0,0.4,xyy,2.928071573066279
quad,coupled,shortwave,4.0,8.0,0.4,yyy,1.9615112672574988
quad,coupled,exponential,4.0,8.0,0.4,x,4.0000812859639865
quad,coupled,exponential,4.0,8.0,0.4,y,4.001122970665807
quad,coupled,exponential,4.0,8.0,0.4,xx,3.000794648274886
quad,coupled,exponential,4.0,8.0,0.4,xy,3.8211567554876718
quad,coupled,exponential,4.0,8.0,0.4,yy,3.000194667335009
quad,coupled,exponential,4.0,8.0,0.4,xxx,2.002581553790726
quad,coupled,exponential,4.0,8.0,0.4,xxy,2.928018823897079
quad,coupled,exponential,4.0,8.0,0.4,xyy,3.08217868853355
quad,coupled,exponential,4.0,8.0,0.4,yyy,1.9981280645666972
quad,coupled,sine,4.0,16.0,0.4,x,4.000334806289593
quad,coupled,sine,4.0,16.0,0.4,y,3.99816921679041
quad,coupled,sine,4.0,16.0,0.4,xx,2.999255033643276
quad,coupled,sine,4.0,16.0,0.4,xy,3.1416202945150147
quad,coupled,sine,4.0,16.0,0.4,yy,2.998127459137801
quad,coupled,sine,4.0,16.0,0.4,xxx,1.9994040246228786
quad,coupled,sine,4.0,16.0,0.4,xxy,2.612808398184308
quad,coupled,sine,4.0,16.0,0.4,xyy,2.283910668822277
quad,coupled,sine,4.0,16.0,0.4,yyy,1.9981810038585557
quad,coupled,shortwave,4.0,16.0,0.4,x,3.9872063091696144
quad,coupled,shortwave,4.0,16.0,0.4,y,3.998004330842349
quad,coupled,shortwave,4.0,16.0,0.4,xx,2.9869466498646644
quad,coupled,shortwave,4.0,16.0,0.4,xy,3.3971823556335856
quad,coupled,shortwave,4.0,16.0,0.4,yy,2.9909691564971763
quad,coupled,shortwave,4.0,16.0,0.4,xxx,1.986802494141554
quad,coupled,shortwave,4.0,16.0,0.4,xxy,2.6124675554085037
quad,coupled,shortwave,4.0,16.0,0.4,xyy,2.847446126350046
quad,coupled,shortwave,4.0,16.0,0.4,yyy,1.9905006657271411
quad,coupled,exponential,4.0,16.0,0.4,x,4.000011981310073
quad,coupled,exponential,4.0,16.0,0.4,y,4.0003284158193475
quad,coupled,exponential,4.0,16.0,0.4,xx,3.0001958036057728
quad,coupled,exponential,4.0,16.0,0.4,xy,3.549732072949741
quad,coupled,exponential,4.0,16.0,0.4,yy,3.0000527093803813
quad,coupled,exponential,4.0,16.0,0.4,xxx,2.000650375546116
quad,coupled,exponential,4.0,16.0,0.4,xxy,2.7774977085014463
quad,coupled,exponential,4.0,16.0,0.4,xyy,2.872123279521896
quad,coupled,exponential,4.0,16.0,0.4,yyy,1.9995272674520372
quad,coupled,sine,1.0,8.0,1.2,x,0.9817265302583218
quad,coupled,sine,1.0,8.0,1.2,y,0.9894708263211478
quad,coupled,shortwave,1.0,8.0,1.2,x,0.9208971387659088
quad,coupled,shortwave,1.0,8.0,1.2,y,0.954365446185618
quad,coupled,exponential,1.0,8.0,1.2,x,0.9925071937477098
quad,coupled,exponential,1.0,8.0,1.2,y,0.9974019349065021
quad,coupled,sine,1.0,16.0,1.2,x,0.995573621301723
quad,coupled,sine,1.0,16.0,1.2,y,0.9973192295416781
quad,coupled,shortwave,1.0,16.0,1.2,x,0.979877771601419
quad,coupled,shortwave,1.0,16.0,1.2,y,0.9902349185333654
quad,coupled,exponential,1.0,16.0,1.2,x,0.9982426401145197
quad,coupled,exponential,1.0,16.0,1.2,y,0.9993130398599088
quad,coupled,sine,2.0,8.0,1.2,x,2.0052927216269807
quad,coupled,sine,2.0,8.0,1.2,y,1.9786252233464623
quad,coupled,sine,2.0,8.0,1.2,xx,1.002809391556195
quad,coupled,sine,2.0,8.0,1.2,xy,1.3844001815674614
quad,coupled,sine,2.0,8.0,1.2,yy,0.9815658321404366
quad,coupled,shortwave,2.0,8.0,1.2,x,1.9066415477403118
quad,coupled,shortwave,2.0,8.0,1.2,y,1.963502124571441
quad,coupled,shortwave,2.0,8.0,1.2,xx,0.9165985925284751
quad,coupled,shortwave,2.0,8.0,1.2,xy,1.6447229050183858
quad,coupled,shortwave,2.0,8.0,1.2,yy,0.9408405965098494
quad,coupled,exponential,2.0,8.0,1.2,x,1.9979748297825575
quad,coupled,exponential,2.0,8.0,1.2,y,2.0010024292269133
quad,coupled,exponential,2.0,8.0,1.2,xx,0.9975166900700205
quad,coupled,exponential,2.0,8.0,1.2,xy,1.7027789220077651
quad,coupled,exponential,2.0,8.0,1.2,yy,1.004560268307161
quad,coupled,sine,2.0,16.0,1.2,x,2.001182381780264
quad,coupled,sine,2.0,16.0,1.2,y,1.9940533088180195
quad,coupled,sine,2.0,16.0,1.2,xx,1.000575535917303
quad,coupled,sine,2.0,16.0,1.2,xy,1.1460378661275343
quad,coupled,sine,2.0,16.0,1.2,yy,0.9950765732883923
quad,coupled,shortwave,2.0,16.0,1.2,x,1.9773744461437088
quad,coupled,shortwave,2.0,16.0,1.2,y,1.992410155923892
quad,coupled,shortwave,2.0,16.0,1.2,xx,0.9791014678442072
quad,coupled,shortwave,2.0,16.0,1.2,xy,1.4127530392545378
quad,coupled,shortwave,2.0,16.0,1.2,yy,0.9864060125701686
quad,coupled,exponential,2.0,16.0,1.2,x,1.999490222936617
quad,coupled,exponential,2.0,16.0,1.2,y,2.0002337531881547
quad,coupled,exponential,2.0,16.0,1.2,xx,0.9993987398893821
quad,coupled,exponential,2.0,16.0,1.2,xy,1.3865988239927571
quad,coupled,exponential,2.0,16.0,1.2,yy,1.0011517759950697
quad,coupled,sine,3.0,8.0,1.2,x,2.9513564819203353
quad,coupled,sine,3.0,8.0,1.2,y,2.952321484235669
quad,coupled,sine,3.0,8.0,1.2,xx,1.968596195574386
quad,coupled,sine,3.0,8.0,1.2,xy,2.191787418905767
quad,coupled,sine,3.0,8.0,1.2,yy,1.9644219712340971
quad,coupled,sine,3.0,8.0,1.2,xxx,0.9920667433970044
quad,coupled,sine,3.0,8.0,1.2,xxy,1.591802364524762
