p,curved,jump,version,method,total_ms,decay_ms,indicator_ms,decay_share,peak_mib
2,False,False,before,dg,43.79255555555557,0.0,0.0,0.0,136.890625
2,False,False,before,ofdg,64.09466666666665,20.2227777777777,0.0,31.499821359742576,136.890625
2,False,False,before,ofdg-kxrcf,57.08444444444444,5.668777777777795,7.461888888888978,9.940328748192243,136.890625
2,False,False,after,dg,43.16666666666672,0.0,0.0,0.0,136.484375
2,False,False,after,ofdg,63.34855555555558,19.995444444444363,0.0,31.64196324299926,136.484375
2,False,False,after,ofdg-kxrcf,51.83522222222218,0.923444444444489,7.376555555555263,1.7604847506247059,136.484375
2,True,False,after,dg,53.52199999999978,0.0,0.0,0.0,239.5625
2,True,False,after,ofdg,95.55533333333344,38.83600000000027,0.0,41.302395191771424,239.5625
2,True,False,after,ofdg-kxrcf,84.73144444444438,3.742333333333095,23.315444444444314,4.418040352747825,239.5625
2,True,False,before,dg,53.757222222222204,0.0,0.0,0.0,243.09375
2,True,False,before,ofdg,97.08077777777764,41.09544444444464,0.0,42.33118582806783,243.09375
2,True,False,before,ofdg-kxrcf,88.37755555555562,9.571888888888935,22.96666666666682,10.864931272472052,243.09375
3,False,False,before,dg,55.146916666666634,0.0,0.0,0.0,172.265625
3,False,False,before,ofdg,84.25008333333334,28.598416666666473,0.0,33.94467463434731,172.265625
3,False,False,before,ofdg-kxrcf,74.6110833333334,7.483750000000011,9.3806666666667,10.030346251059667,172.265625
3,False,False,after,dg,58.267333333333376,0.0,0.0,0.0,188.953125
3,False,False,after,ofdg,85.05616666666667,28.67608333333334,0.0,33.670156416445664,188.953125
3,False,False,after,ofdg-kxrcf,71.17633333333329,2.7025833333333966,9.989916666666675,3.8024924269993625,188.953125
3,True,False,after,dg,66.9732500000002,0.0,0.0,0.0,409.546875
3,True,False,after,ofdg,125.28125000000016,55.362833333333285,0.0,44.31345701740727,409.546875
3,True,False,after,ofdg-kxrcf,104.41433333333333,9.072499999999076,27.378249999999934,8.619863316201176,409.546875
3,True,False,before,dg,66.74074999999984,0.0,0.0,0.0,424.8125
3,True,False,before,ofdg,126.07558333333316,57.02958333333304,0.0,44.94449541495261,424.8125
3,True,False,before,ofdg-kxrcf,109.84300000000025,14.041333333333275,26.484583333333592,12.749959897458243,424.8125
2,True,True,before,dg,54.08200000000029,0.0,0.0,0.0,254.421875
2,True,True,before,ofdg,96.27066666666668,39.637222222222285,0.0,41.0535704010589,254.421875
2,True,True,before,ofdg-kxrcf,92.33622222222237,12.852888888888556,23.25811111111126,14.110599044369845,254.421875
2,True,True,after,dg,52.32877777777785,0.0,0.0,0.0,238.609375
2,True,True,after,ofdg,95.03133333333341,39.9800000000003,0.0,41.69742358762054,238.609375
2,True,True,after,ofdg-kxrcf,84.50411111111104,7.303333333332971,24.478222222222275,8.642577547180057,238.609375
1,True,False,after,dg,41.05030000000003,0.0,0.0,0.0,172.40625
1,True,False,after,ofdg,75.12759999999972,32.888000000000524,0.0,43.99206370062825,172.40625
1,True,False,after,ofdg-kxrcf,67.34659999999995,5.069200000000506,20.589599999999738,7.4410852299348225,172.40625
1,True,False,before,dg,40.70890000000009,0.0,0.0,0.0,165.53125
1,True,False,before,ofdg,74.4029999999995,32.804399999999475,0.0,44.476432401919176,165.53125
1,True,False,before,ofdg-kxrcf,72.44239999999989,10.274400000000128,20.878800000000563,14.148051538084705,165.53125
