dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,1,0,0,1,recursive,-1.9997740854925238e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,1,0,0,1,direct,-1.8279540938233544e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,1,0,0,1,fe_geometry,-1.8279540938237103e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,1,0,0,1,reused,-7.8259470945434371e-15,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,1,0,0,1,reused_centered,3.0516892747407883e-14,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,0,1,0,1,recursive,-1.7495143660249762e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,0,1,0,1,direct,-5.2681755306462972e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,0,1,0,1,fe_geometry,-5.268175530645964e-13,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,0,1,0,1,reused,-2.5991074900892496e-14,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
2,32,0,10,0,0.23000000000000001,0.31,0.37,0.20718750000000014,0.30968750000000017,0,constant,0,1,0,1,reused_centered,1.2960271822782622e-14,6.6613381477509392e-16,3.0198066269804258e-14,2.2204460492503131e-16,0.00086462500621564686,0.00067925002076663077,6.2038545941477076e-25
