element,triangle,vertex,x,y,z,u,exact,error
0,0,0,1,0,0,-0.0031772788815262443,0,-0.0031772788815262443
0,0,1,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,0.00093320692532590196,0,0.00093320692532590196
0,0,2,0.99959862883495365,-7.8631170056837355e-18,0.028329864653414302,-0.0029711219351342484,0,-0.0029711219351342484
0,1,0,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,0.00093320692532590196,0,0.00093320692532590196
0,1,1,0.99919450296262946,0.028375563864563386,0.028375563864563386,0.001139363871717898,0,0.001139363871717898
0,1,2,0.99959862883495365,-7.8631170056837355e-18,0.028329864653414302,-0.0029711219351342484,0,-0.0029711219351342484
0,2,0,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,0.00093320692532590196,0,0.00093320692532590196
0,2,1,0.99839094927118155,0.056705488388592629,0,0.0050436927321780498,0,0.0050436927321780498
0,2,2,0.99919450296262946,0.028375563864563386,0.028375563864563386,0.001139363871717898,0,0.001139363871717898
0,3,0,0.99839094927118155,0.056705488388592629,0,0.0050436927321780498,0,0.0050436927321780498
0,3,1,0.99798178509957347,0.056796877445641158,0.028398438722820579,0.0052498496785700465,0,0.0052498496785700465
0,3,2,0.99919450296262946,0.028375563864563386,0.028375563864563386,0.001139363871717898,0,0.001139363871717898
0,4,0,0.99839094927118155,0.056705488388592629,0,0.0050436927321780498,0,0.0050436927321780498
0,4,1,0.99637598178091147,0.085058232582888971,0,0.0091541785390301979,0,0.0091541785390301979
0,4,2,0.99798178509957347,0.056796877445641158,0.028398438722820579,0.0052498496785700465,0,0.0052498496785700465
0,5,0,0.99637598178091147,0.085058232582888971,0,0.0091541785390301979,0,0.0091541785390301979
0,5,1,0.99595951347369926,0.085194969153754144,0.028398323051251374,0.0093603354854221946,0,0.0093603354854221946
0,5,2,0.99798178509957347,0.056796877445641158,0.028398438722820579,0.0052498496785700465,0,0.0052498496785700465
0,6,0,0.99637598178091147,0.085058232582888971,0,0.0091541785390301979,0,0.0091541785390301979
0,6,1,0.99355860436086385,0.11331945861365723,0,0.013264664345882344,0,0.013264664345882344
0,6,2,0.99595951347369926,0.085194969153754144,0.028398323051251374,0.0093603354854221946,0,0.0093603354854221946
0,7,0,0.99355860436086385,0.11331945861365723,0,0.013264664345882344,0,0.013264664345882344
