x,density,velocity,pressure
-4.9974999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.9924999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.9874999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.9824999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.9775,0.44500000000000001,0.69799999999999995,3.528
-4.9725000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.9675000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.9625000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.9574999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.9524999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.9474999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.9424999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.9375,0.44500000000000001,0.69799999999999995,3.528
-4.9325000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.9275000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.9225000000000003,0.44500000000000001,0.69799999999999995,3.528
-4.9175000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.9124999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.9074999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.9024999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.8975,0.44500000000000001,0.69799999999999995,3.528
-4.8925000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.8875000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.8825000000000003,0.44500000000000001,0.69799999999999995,3.528
-4.8775000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.8724999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.8674999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.8624999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.8574999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.8525,0.44500000000000001,0.69799999999999995,3.528
-4.8475000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.8425000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.8375000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.8324999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.8274999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.8224999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.8174999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.8125,0.44500000000000001,0.69799999999999995,3.528
-4.8075000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.8025000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.7975000000000003,0.44500000000000001,0.69799999999999995,3.528
-4.7925000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.7874999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.7824999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.7774999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.7725,0.44500000000000001,0.69799999999999995,3.528
-4.7675000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.7625000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.7575000000000003,0.44500000000000001,0.69799999999999995,3.528
-4.7525000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.7474999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.7424999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.7374999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.7324999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.7275,0.44500000000000001,0.69799999999999995,3.528
-4.7225000000000001,0.44500000000000001,0.69799999999999995,3.528
-4.7175000000000002,0.44500000000000001,0.69799999999999995,3.528
-4.7125000000000004,0.44500000000000001,0.69799999999999995,3.528
-4.7074999999999996,0.44500000000000001,0.69799999999999995,3.528
-4.7024999999999997,0.44500000000000001,0.69799999999999995,3.528
-4.6974999999999998,0.44500000000000001,0.69799999999999995,3.528
-4.6924999999999999,0.44500000000000001,0.69799999999999995,3.528
-4.6875,0.44500000000000001,0.69799999999999995,3.528
