id,status,peak_mib,n,order,curved,jump,repeat,method,cells,dofs,cycles,steps,tf,dt,common_setup,filter_setup,dg_seconds,detector_seconds,decay_seconds,total_seconds,active_count,mass_drift,l2_error
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,-1.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.2853630000000001,0.0,0.0,0.2853700000000001,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,-1.0,ofdg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.001674000000000064,0.2266460000000003,0.0,0.1023689999999996,0.3290199999999999,0.0,8.326672684688674e-16,0.0002826578500925223
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,-1.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003367000000000009,0.2277769999999996,0.05434100000000008,0.02848800000000051,0.3106070000000002,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,0.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.002732999999999999,0.00167700000000004,0.1962259999999996,0.0,0.07888800000000051,0.2751169999999998,0.0,8.326672684688674e-16,0.0002826578500925223
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,0.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003371000000000013,0.2271840000000012,0.05607600000000135,0.02896599999999738,0.3122290000000001,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,0.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.282869,0.0,0.0,0.2828769999999998,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,1.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003341000000000038,0.2263329999999981,0.05539700000000147,0.02902199999999966,0.3107539999999995,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,1.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.2822160000000005,0.0,0.0,0.2822180000000003,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,1.0,ofdg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.001782999999999646,0.2264970000000011,0.0,0.1025779999999985,0.3290779999999995,0.0,8.326672684688674e-16,0.0002826578500925223
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,2.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.283655,0.0,0.0,0.2836629999999993,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,2.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.002732999999999999,0.001757000000000009,0.2013550000000004,0.0,0.07809099999999924,0.2794500000000002,0.0,8.326672684688674e-16,0.0002826578500925223
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,2.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003495000000000026,0.2263129999999993,0.05563500000000055,0.02854999999999963,0.3104989999999992,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,3.0,ofdg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.001660000000000217,0.2276289999999985,0.0,0.1038860000000015,0.3315170000000003,0.0,8.326672684688674e-16,0.0002826578500925223
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,3.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003362000000000087,0.2266199999999969,0.05488600000000687,0.02854499999999494,0.3100539999999992,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,3.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.2843159999999996,0.0,0.0,0.2843279999999995,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,4.0,ofdg-kxrcf,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.002732999999999999,0.003454999999999764,0.2270860000000008,0.05536799999999786,0.02883100000000027,0.3112859999999991,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,4.0,dg,256.0,2304.0,5.0,105.0,0.05,0.002461995616119798,0.002732999999999999,0.0,0.2833899999999998,0.0,0.0,0.2833960000000006,0.0,9.43689570931383e-16,0.0001857216532266761
affine_p2_n16_smooth,ok,27.78125,16.0,2.0,0.0,0.0,4.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.002732999999999999,0.001638999999999946,0.1830430000000041,0.0,0.08750199999999797,0.270550000000001,0.0,8.326672684688674e-16,0.0002826578500925223
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,-1.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.278688,0.0,0.0,0.278694,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,-1.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.067525,0.2118439999999998,0.0,0.1501670000000002,0.362011,0.0,4.052314039881821e-15,0.0004997849026674387
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,-1.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.075484,0.2140130000000003,0.1152070000000001,0.03610099999999961,0.365324,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,0.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.06751400000000007,0.2121379999999999,0.0,0.1520409999999999,0.3641860000000001,0.0,4.052314039881821e-15,0.0004997849026674387
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,0.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.07340900000000006,0.2407940000000008,0.1163979999999996,0.03634199999999943,0.3935339999999998,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,0.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.2796249999999993,0.0,0.0,0.2796349999999999,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,1.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.07293199999999977,0.2144419999999978,0.1188010000000008,0.03588500000000172,0.3691310000000003,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,1.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.2817859999999994,0.0,0.0,0.2817909999999997,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,1.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.06694900000000015,0.2101139999999999,0.0,0.1499169999999999,0.3600339999999997,0.0,4.052314039881821e-15,0.0004997849026674387
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,2.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.2809929999999996,0.0,0.0,0.2809989999999996,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,2.0,ofdg,256.0,2304.0,2.0,42.0,0.05,0.002461995616119798,0.005025000000000002,0.06761300000000015,0.1680550000000034,0.0,0.1018409999999963,0.269898,0.0,4.052314039881821e-15,0.0004997849026674387
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,2.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.07292900000000024,0.2151110000000003,0.1165769999999977,0.03558800000000151,0.3672769999999996,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,3.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.0669360000000001,0.2102809999999975,0.0,0.1460580000000018,0.3563439999999991,0.0,4.052314039881821e-15,0.0004997849026674387
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,3.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.07272400000000001,0.2118660000000059,0.1151159999999978,0.03596899999999703,0.3629540000000002,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,3.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.2827110000000008,0.0,0.0,0.2827190000000011,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,4.0,ofdg-kxrcf,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.07330300000000012,0.2144309999999994,0.1174939999999989,0.03618900000000291,0.3681150000000013,12.0,3.83026943495679e-15,0.0003277429512431198
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,4.0,dg,256.0,2304.0,4.0,84.0,0.05,0.002461995616119798,0.005025000000000002,0.0,0.2891910000000006,0.0,0.0,0.2891969999999997,0.0,1.110223024625157e-16,0.0003277708938937738
curved_p2_n16_smooth,ok,41.3125,16.0,2.0,1.0,0.0,4.0,ofdg,256.0,2304.0,3.0,63.0,0.05,0.002461995616119798,0.005025000000000002,0.06741699999999984,0.2099770000000012,0.0,0.1494119999999972,0.359392999999999,0.0,4.052314039881821e-15,0.0004997849026674387
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,-1.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.447792,0.0,0.0,0.4477929999999999,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,-1.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.006552000000000002,0.4426069999999994,0.0,0.1982110000000008,0.6408200000000002,0.0,4.996003610813204e-15,3.643218264201793e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,-1.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0131429999999999,0.4768449999999997,0.1091820000000003,0.05667200000000006,0.6427,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,0.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.006596999999999964,0.4475539999999991,0.0,0.2012670000000008,0.648822,0.0,4.996003610813204e-15,3.643218264201793e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,0.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.01331300000000013,0.4452170000000022,0.1100030000000003,0.0566789999999977,0.611901,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,0.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.4774659999999997,0.0,0.0,0.4774760000000002,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,1.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.01325900000000013,0.4433539999999976,0.1069910000000007,0.05560100000000112,0.6059469999999996,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,1.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.4425340000000002,0.0,0.0,0.4425370000000006,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,1.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.006706999999999574,0.4468089999999991,0.0,0.200553000000002,0.6473659999999999,0.0,4.996003610813204e-15,3.643218264201793e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,2.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.5110190000000001,0.0,0.0,0.5110229999999998,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,2.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.006457999999999409,0.4454940000000018,0.0,0.201935999999999,0.6474320000000002,0.0,4.996003610813204e-15,3.643218264201793e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,2.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.01314999999999955,0.4485759999999992,0.1104330000000004,0.05753800000000098,0.616549,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,3.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.006594999999999906,0.4487649999999999,0.0,0.2027859999999997,0.651554,0.0,4.996003610813204e-15,3.643218264201793e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,3.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.02591700000000063,0.453336999999995,0.1067990000000067,0.05554200000000087,0.6156810000000004,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,3.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.4459479999999996,0.0,0.0,0.4459490000000006,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,4.0,ofdg-kxrcf,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.01312099999999994,0.4400469999999981,0.1087450000000025,0.05651299999999715,0.6053069999999998,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,4.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.0,0.462569000000002,0.0,0.0,0.4625710000000005,0.0,4.107825191113079e-15,2.756998709890719e-05
affine_p2_n32_smooth,ok,44.546875,32.0,2.0,0.0,0.0,4.0,ofdg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.008448999999999998,0.007039999999999935,0.4431199999999951,0.0,0.2003930000000054,0.6435150000000007,0.0,4.996003610813204e-15,3.643218264201793e-05
curved_p2_n32_smooth,ok,93.203125,32.0,2.0,1.0,0.0,-1.0,dg,1024.0,9216.0,1.0,41.0,0.05,0.001230997808059899,0.022158,0.0,0.5360900000000001,0.0,0.0,0.536093,0.0,2.609024107869118e-15,4.81227499438584e-05
