map,field,family,p,order,method,derivative,relative_l2,error_l2,face_relative_max
coupled,sine,tri,3.0,2,oracle_k2,xx,7.863751262512502e-05,0.0002217447803110966,0.00018242586069927309
coupled,sine,tri,3.0,3,recursive,xxx,0.4283398267844223,2.4303947012464815,0.5609079001203786
coupled,sine,tri,3.0,3,physical_k,xxx,0.190667339076605,1.0818440444151565,0.23100799775577271
coupled,sine,tri,3.0,3,physical_k1,xxx,0.42190719713107594,2.393896042828612,0.5466298318667656
coupled,sine,tri,3.0,3,physical_k2,xxx,0.43046428980103557,2.442448877243451,0.5670412044216716
coupled,sine,tri,3.0,3,oracle_k2,xxx,0.0019181722774482106,0.010883684980183517,0.0035426828360037277
coupled,sine,tri,4.0,1,recursive,x,0.00010777770803733035,0.00015288233439138645,0.00026714588830081544
coupled,sine,tri,4.0,1,physical_k,x,2.7098652139276642e-05,3.843935145176586e-05,6.687691231807922e-05
coupled,sine,tri,4.0,1,physical_k1,x,0.00010732500852680484,0.0001522401815825421,0.00026582755647523693
coupled,sine,tri,4.0,1,physical_k2,x,0.00010742610924529796,0.0001523835926286048,0.00026581134575353135
coupled,sine,tri,4.0,1,oracle_k2,x,2.721602995807171e-08,3.860585151258496e-08,8.840566687258829e-08
coupled,sine,tri,4.0,2,recursive,xx,0.004500770890826705,0.01269142956205463,0.00915837089852983
coupled,sine,tri,4.0,2,physical_k,xx,0.0010098222031569965,0.002847531605682726,0.001999623719674481
coupled,sine,tri,4.0,2,physical_k1,xx,0.004472221575188146,0.012610925213519555,0.009089878969004964
coupled,sine,tri,4.0,2,physical_k2,xx,0.00446869452527412,0.012600979516075379,0.009073104356250045
coupled,sine,tri,4.0,2,oracle_k2,xx,2.0606339197839465e-06,5.8106468603903535e-06,5.52949770115689e-06
coupled,sine,tri,4.0,3,recursive,xxx,0.0845850654847685,0.47993458021878393,0.13804578704912282
coupled,sine,tri,4.0,3,physical_k,xxx,0.017810850088444075,0.10105853570659434,0.02759572802746341
coupled,sine,tri,4.0,3,physical_k1,xxx,0.08331009384047697,0.47270040740840646,0.1351185948095269
coupled,sine,tri,4.0,3,physical_k2,xxx,0.08353887048808506,0.47399848318223703,0.13592118336182324
coupled,sine,tri,4.0,3,oracle_k2,xxx,7.626008565835932e-05,0.00043269875111090196,0.0001660194828368557
separable,represented_quadratic,quad,2.0,1,recursive,x,0.0015306656639154956,0.003078018060192565,0.003865582546798736
separable,represented_quadratic,quad,2.0,1,physical_k,x,0.022792093098645348,0.04583265688978946,0.05199284648137461
separable,represented_quadratic,quad,2.0,1,physical_k1,x,0.004490673089409455,0.009030301781425564,0.013230896577266914
separable,represented_quadratic,quad,2.0,1,physical_k2,x,0.0009445485691250624,0.0018993942459380173,0.0033930967942991342
separable,represented_quadratic,quad,2.0,1,oracle_k2,x,0.0009445485691137186,0.001899394245915206,0.003393096794256598
separable,represented_quadratic,quad,2.0,2,recursive,xx,0.04905831951929859,0.9219572100455411,0.10022810463305605
separable,represented_quadratic,quad,2.0,2,physical_k,xx,0.36598001914339423,6.8778939166296515,0.5233385591486436
separable,represented_quadratic,quad,2.0,2,physical_k1,xx,0.12244290754284702,2.3010800723343117,0.22819320972293672
separable,represented_quadratic,quad,2.0,2,physical_k2,xx,0.03860362957041393,0.7254813243729151,0.08855232589961201
