family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,y,1,physical_k2,1.0009265852588927,1.005663116326487,1.0015998003482482,0.0027929766597108428,0.005942742698091453
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k,1.516879350533923,1.416668393704979,2.96322920976919,0.046975080689458326,0.13246195867405977
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k1,0.961073083875344,0.9628375406566538,1.1528917026390149,0.029762739961895986,0.08392600444737873
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k2,0.9985674407409931,1.0127718189982566,0.9497416403133073,0.030923874127604858,0.08720021076306224
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k,8.779411587066575,7.665514471164731,7.725349878145124,0.0491268446607366,0.20779436581248217
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k1,1.1032184324738659,1.1176647343459922,0.8922009357255326,0.006173265716217975,0.02611138255168003
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k2,1.0984387610919566,1.1329350424269549,1.2729001142618241,0.006146520168275521,0.02599825551876372
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k,1.1818045490321212,1.143465462127246,2.0040673317087925,0.0489196355967526,0.3103768843125773
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k1,0.9775145585622482,0.976374471357292,1.1019355849887118,0.040463252603443765,0.2567242809356361
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k2,1.0024172542581842,1.009712487593817,0.9544187661507454,0.04149407517035613,0.2632644665419776
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxx,3,physical_k,0.7194592697558568,0.6790425758433934,0.630189501621447,0.2836100465712019,1.6091997785529888
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxx,3,physical_k1,0.9527749677066091,0.9474305554033123,0.9651607794625296,0.375582836058034,2.131052210314266
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxx,3,physical_k2,0.9993923546858241,1.0215611560177462,1.011035329437019,0.39395935832688933,2.2353203627409184
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxy,3,physical_k,5.189088454484057,4.067550897718091,9.096731139456729,0.278421915738271,2.3696435857985922
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxy,3,physical_k1,0.894591153308797,0.8680605891426139,1.7625171632907934,0.047999525329253535,0.4085230396330044
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxy,3,physical_k2,0.9481645629108113,0.9296793754671402,1.3035369541670787,0.0508740208143198,0.4329878155847561
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xyy,3,physical_k,5.167559387388786,4.196603110505598,6.315196356898277,0.2784527236946551,3.554858687586903
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xyy,3,physical_k1,0.9626431013516616,0.9534212430802667,1.2658402668354534,0.051871797384933103,0.6622198092656564
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xyy,3,physical_k2,1.2640367277942541,1.3115358664831755,1.033880755514884,0.06811232214638277,0.8695540014875218
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yyy,3,physical_k,0.8112640475626852,0.7923943421938731,0.8459326658313928,0.27845296771640454,5.332292704325315
