map,method,count,error_ratio_min,error_ratio_median,error_ratio_max,face_ratio_min,face_ratio_median,face_ratio_max,jump_ratio_min,jump_ratio_median,jump_ratio_max,improved,worsened
coupled,physical_k,138,0.010817776617210915,0.8900368576858335,13.926116639589038,0.009448993059781256,0.8672193250839232,12.502816733276601,0.009889745472277214,0.8973719255378136,14.510143814966215,86,52
coupled,physical_k1,138,0.4303287726272496,0.9965381992107535,2.4596873637707413,0.33046550060941776,0.9951005703446355,2.518408975141367,0.16130167742436133,0.9979013839188692,2.725596019810658,102,36
coupled,physical_k2,138,0.948058719857472,1.0011970183580536,1.275367828504728,0.9398112692034019,1.0031432951900152,1.245297402201897,0.706310413239171,1.0006144256235494,1.9616445378351048,41,97
separable,physical_k,46,6.901643631006751,32.82104392651856,629.7665716942306,4.731383475706556,26.31979915355265,427.2946789846785,4.275377959226642,28.90799172237498,592.5809317211243,0,46
separable,physical_k1,46,1.5829921394652302,5.570152258273458,114.99705321043632,1.6058468142290374,5.828024692087181,99.73331011868517,1.2291460263676264,6.755576238712798,230.81746708286886,0,46
separable,physical_k2,46,0.2871725355212237,1.4018652736926103,31.53733380560616,0.38190571170923454,1.5247539227662106,25.102435722058367,0.14312466883111216,2.346861502024712,39.570598560836935,17,29
