id,status,peak_mib,n,order,curved,jump,repeat,method,cells,dofs,cycles,steps,tf,dt,common_setup,filter_setup,dg_seconds,detector_seconds,decay_seconds,total_seconds,active_count,mass_drift,l2_error
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,-1.0,dg,256.0,2304.0,31.0,93.0,0.005,0.002461995616119798,0.002777999999999996,0.0,0.257539,0.0,0.0,0.257546,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,-1.0,ofdg,256.0,2304.0,17.0,51.0,0.005,0.002461995616119798,0.002777999999999996,0.001709999999999989,0.1565870000000001,0.0,0.09413599999999978,0.250725,0.0,3.33066907387547e-15,0.0001078564248906466
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,-1.0,ofdg-kxrcf,256.0,2304.0,22.0,66.0,0.005,0.002461995616119798,0.002777999999999996,0.003367000000000009,0.1827189999999994,0.0449480000000001,0.02342800000000012,0.2511009999999997,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,0.0,ofdg,256.0,2304.0,21.0,63.0,0.005,0.002461995616119798,0.002777999999999996,0.001647999999999983,0.172609,0.0,0.07829299999999972,0.2509079999999998,0.0,3.33066907387547e-15,0.0001078564248906466
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,0.0,ofdg-kxrcf,256.0,2304.0,23.0,69.0,0.005,0.002461995616119798,0.002777999999999996,0.003439999999999888,0.1889439999999993,0.0466260000000005,0.02392000000000016,0.25949,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,0.0,dg,256.0,2304.0,31.0,93.0,0.005,0.002461995616119798,0.002777999999999996,0.0,0.254318999999998,0.0,0.0,0.2543299999999984,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,1.0,ofdg-kxrcf,256.0,2304.0,21.0,63.0,0.005,0.002461995616119798,0.002777999999999996,0.003281000000000089,0.1818439999999992,0.05089400000000044,0.02431399999999995,0.2570529999999998,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,1.0,dg,256.0,2304.0,31.0,93.0,0.005,0.002461995616119798,0.002777999999999996,0.0,0.2538910000000012,0.0,0.0,0.2538950000000006,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,1.0,ofdg,256.0,2304.0,21.0,63.0,0.005,0.002461995616119798,0.002777999999999996,0.001661000000000357,0.1737079999999991,0.0,0.07754499999999975,0.2512589999999992,0.0,3.33066907387547e-15,0.0001078564248906466
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,2.0,dg,256.0,2304.0,30.0,90.0,0.005,0.002461995616119798,0.002777999999999996,0.0,0.2510550000000018,0.0,0.0,0.2510630000000011,0.0,7.216449660063518e-16,0.0001050029494586784
affine_p2_n16_smooth,ok,27.71875,16.0,2.0,0.0,0.0,2.0,ofdg,256.0,2304.0,21.0,63.0,0.005,0.002461995616119798,0.002777999999999996,0.001670999999999978,0.1738749999999984,0.0,0.07828600000000074,0.2521639999999996,0.0,3.33066907387547e-15,0.0001078564248906466
