separable,1,0,1.3055414797482301
separable,0,1,-0.88373981049801298
separable,2,0,22.443540012189992
separable,1,1,-1.5460263614731062
separable,0,2,0.71678718431290656
separable,3,0,136.7136969023409
separable,2,1,34.652218499250154
separable,1,2,2.7108345680747257
separable,0,3,-15.468638623255901
coupled,1,0,1.7546513840231981
coupled,0,1,-1.1936842325452117
coupled,2,0,35.871008682712315
coupled,1,1,-5.9416477574088615
coupled,0,2,2.8140795934172953
coupled,3,0,210.26794545670464
coupled,2,1,26.387317067120691
coupled,1,2,14.608866792483619
coupled,0,3,-33.109533800145371
