dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,2.0,0.0,quintic,8.0,fe_geometry,2.9806156238988484e-06,2.9806156238988484e-06,nan
2.0,2.0,0.0,quintic,9.0,recursive,4.147857526966747e-05,4.147857526966747e-05,nan
2.0,2.0,0.0,quintic,9.0,direct,2.4378777947276828e-05,2.4378777947276828e-05,nan
2.0,2.0,0.0,quintic,9.0,fe_geometry,2.4530167033039768e-05,2.4530167033039768e-05,nan
2.0,2.0,0.0,quintic,10.0,recursive,0.00042044317313818874,0.00042044317313818874,nan
2.0,2.0,0.0,quintic,10.0,direct,9.624488884583115e-05,9.624488884583115e-05,nan
2.0,2.0,0.0,quintic,10.0,fe_geometry,9.607340550464158e-05,9.607340550464158e-05,nan
2.0,8.0,0.0,constant,1.0,recursive,1.143325317149075e-13,1.143325317149075e-13,nan
2.0,8.0,0.0,constant,1.0,direct,1.6840189687172824e-13,1.6840189687172824e-13,nan
2.0,8.0,0.0,constant,1.0,fe_geometry,1.6840189687172198e-13,1.6840189687172198e-13,nan
2.0,8.0,0.0,constant,2.0,recursive,1.473393158047581e-11,1.473393158047581e-11,nan
2.0,8.0,0.0,constant,2.0,direct,1.615390488041157e-11,1.615390488041157e-11,nan
2.0,8.0,0.0,constant,2.0,fe_geometry,1.6153904880410963e-11,1.6153904880410963e-11,nan
2.0,8.0,0.0,constant,3.0,recursive,1.102002156765192e-09,1.102002156765192e-09,nan
2.0,8.0,0.0,constant,3.0,direct,1.5008840819064063e-09,1.5008840819064063e-09,nan
2.0,8.0,0.0,constant,3.0,fe_geometry,1.5008840819062481e-09,1.5008840819062481e-09,nan
2.0,8.0,0.0,constant,4.0,recursive,5.682526820799678e-08,5.682526820799678e-08,nan
2.0,8.0,0.0,constant,4.0,direct,7.691987411817535e-08,7.691987411817535e-08,nan
2.0,8.0,0.0,constant,4.0,fe_geometry,7.691987411815336e-08,7.691987411815336e-08,nan
2.0,8.0,0.0,constant,5.0,recursive,6.319428460478541e-06,6.319428460478541e-06,nan
2.0,8.0,0.0,constant,5.0,direct,4.377029836177825e-06,4.377029836177825e-06,nan
2.0,8.0,0.0,constant,5.0,fe_geometry,4.377029836177191e-06,4.377029836177191e-06,nan
2.0,8.0,0.0,constant,6.0,recursive,0.0004017817759242172,0.0004017817759242172,nan
2.0,8.0,0.0,constant,6.0,direct,0.0002388104796409607,0.0002388104796409607,nan
2.0,8.0,0.0,constant,6.0,fe_geometry,0.00023881047964087007,0.00023881047964087007,nan
2.0,8.0,0.0,constant,7.0,recursive,0.03602395978443676,0.03602395978443676,nan
2.0,8.0,0.0,constant,7.0,direct,0.0077041625976562505,0.0077041625976562505,nan
2.0,8.0,0.0,constant,7.0,fe_geometry,0.007704162597647784,0.007704162597647784,nan
2.0,8.0,0.0,constant,8.0,recursive,2.7028738665203265,2.7028738665203265,nan
2.0,8.0,0.0,constant,8.0,direct,0.3240966796875,0.3240966796875,nan
2.0,8.0,0.0,constant,8.0,fe_geometry,0.32409667968716027,0.32409667968716027,nan
2.0,8.0,0.0,constant,9.0,recursive,165.67182229876676,165.67182229876676,nan
2.0,8.0,0.0,constant,9.0,direct,11.689453125,11.689453125,nan
2.0,8.0,0.0,constant,9.0,fe_geometry,11.689453124970582,11.689453124970582,nan
2.0,8.0,0.0,constant,10.0,recursive,5659.35804035877,5659.35804035877,nan
2.0,8.0,0.0,constant,10.0,direct,193.359375,193.359375,nan
2.0,8.0,0.0,constant,10.0,fe_geometry,193.35937500010806,193.35937500010806,nan
2.0,8.0,0.0,quintic,1.0,recursive,9.71445146547012e-16,9.71445146547012e-16,1.5338607577058072e-14
2.0,8.0,0.0,quintic,1.0,direct,6.418476861114186e-15,6.418476861114186e-15,1.126048572125295e-13
2.0,8.0,0.0,quintic,1.0,fe_geometry,1.2836953722228372e-14,1.2836953722228372e-14,2.25209714425059e-13
2.0,8.0,0.0,quintic,2.0,recursive,1.7363888105137448e-13,1.7363888105137448e-13,4.287379779046281e-13
2.0,8.0,0.0,quintic,2.0,direct,3.106404022901188e-13,3.106404022901188e-13,1.1094300081789951e-12
2.0,8.0,0.0,quintic,2.0,fe_geometry,7.099321130965563e-13,7.099321130965563e-13,1.752918797769274e-12
2.0,8.0,0.0,quintic,3.0,recursive,5.0039602091563495e-12,1.2009504501975243e-11,5.0039602091563495e-12
2.0,8.0,0.0,quintic,3.0,direct,1.8745481357638836e-11,2.6243673900694375e-11,1.8745481357638836e-11
2.0,8.0,0.0,quintic,3.0,fe_geometry,2.3365277966393342e-11,3.271138915295069e-11,2.3365277966393342e-11
2.0,8.0,0.0,quintic,4.0,recursive,5.177966298423958e-10,5.999156726943511e-10,1.4997891817358777e-10
2.0,8.0,0.0,quintic,4.0,direct,1.2817198241698696e-09,1.2817198241698696e-09,2.478972582764527e-11
2.0,8.0,0.0,quintic,4.0,fe_geometry,1.472802623658077e-09,1.472802623658077e-09,2.1504797942384357e-11
2.0,8.0,0.0,quintic,5.0,recursive,7.632427442606901e-08,7.632427442606901e-08,1.4492016475742276e-10
2.0,8.0,0.0,quintic,5.0,direct,7.861534524636229e-08,7.861534524636229e-08,3.607325993471022e-10
2.0,8.0,0.0,quintic,5.0,fe_geometry,9.140683470076452e-08,9.140683470076452e-08,3.876287735238293e-10
2.0,8.0,0.0,quintic,6.0,recursive,5.903009166609125e-06,5.903009166609125e-06,nan
2.0,8.0,0.0,quintic,6.0,direct,4.15778717273497e-06,4.15778717273497e-06,nan
2.0,8.0,0.0,quintic,6.0,fe_geometry,4.547687922324274e-06,4.547687922324274e-06,nan
2.0,8.0,0.0,quintic,7.0,recursive,0.0004556499976826224,0.0004556499976826224,nan
2.0,8.0,0.0,quintic,7.0,direct,0.00013738610269501805,0.00013738610269501805,nan
2.0,8.0,0.0,quintic,7.0,fe_geometry,0.00015817508680351255,0.00015817508680351255,nan
2.0,8.0,0.0,quintic,8.0,recursive,0.03876516526932805,0.03876516526932805,nan
2.0,8.0,0.0,quintic,8.0,direct,0.008363903403282165,0.008363903403282165,nan
2.0,8.0,0.0,quintic,8.0,fe_geometry,0.00913142941927402,0.00913142941927402,nan
2.0,8.0,0.0,quintic,9.0,recursive,2.192698676982896,2.192698676982896,nan
2.0,8.0,0.0,quintic,9.0,direct,0.2791914067268372,0.2791914067268372,nan
2.0,8.0,0.0,quintic,9.0,fe_geometry,0.28807960060251475,0.28807960060251475,nan
2.0,8.0,0.0,quintic,10.0,recursive,66.75272675116976,66.75272675116976,nan
2.0,8.0,0.0,quintic,10.0,direct,4.396853828430176,4.396853828430176,nan
2.0,8.0,0.0,quintic,10.0,fe_geometry,4.2980280100518025,4.2980280100518025,nan
2.0,32.0,0.0,constant,1.0,recursive,5.818464924315001e-13,5.818464924315001e-13,nan
2.0,32.0,0.0,constant,1.0,direct,6.73607587486913e-13,6.73607587486913e-13,nan
