dimension,map,derivative,value,reference,scaled_error,step_sensitivity
2,separable,x,1.30554147974823,1.3055414797710108,1.7449209079346348e-11,1.7278470622203462e-09
2,separable,y,-0.883739810498013,-0.8837398105005838,2.5708324358220125e-12,2.552326128224536e-10
2,separable,xx,22.44354001218999,22.443540012266723,3.418868413485346e-12,3.402134985390637e-10
2,separable,xy,-1.5460263614731062,-1.54602636130975,1.0566198709801456e-10,1.0444252053722704e-08
2,separable,yy,0.7167871843129066,0.7167871842999879,1.2918666136840784e-11,1.2717724651167828e-09
2,separable,xxx,136.7136969023409,136.71369690365572,9.617300458830338e-12,9.60297460823009e-10
2,separable,xxy,34.652218499250154,34.652218499387324,3.958484653469232e-12,3.88220821180935e-10
2,separable,xyy,2.7108345680747257,2.710834568068645,2.243024909335996e-12,2.399307653511971e-10
2,separable,yyy,-15.4686386232559,-15.468638623475401,1.4190056880499675e-11,1.3938830127315445e-09
2,coupled,x,1.754651384023198,1.754651384058239,1.997026840863116e-11,1.977270941852395e-09
2,coupled,y,-1.1936842325452117,-1.1936842325507229,4.616922083709515e-12,4.5766477162500495e-10
2,coupled,xx,35.871008682712315,35.871008682791896,2.2185265853231457e-12,2.215509785332568e-10
2,coupled,xy,-5.9416477574088615,-5.941647756970355,7.380210645934046e-11,7.300600506799166e-09
2,coupled,yy,2.8140795934172953,2.8140795933806992,1.3004628441283486e-11,1.2833240735477286e-09
2,coupled,xxx,210.26794545670464,210.26794545861532,9.086871676997467e-12,9.106240044036961e-10
2,coupled,xxy,26.38731706712069,26.38731706769486,2.1759251499979125e-11,2.137616432268981e-09
2,coupled,xyy,14.608866792483619,14.60886679195844,3.5949393409335025e-11,3.563884609733873e-09
2,coupled,yyy,-33.10953380014537,-33.10953379961083,1.6144633849196824e-11,1.6064573805281083e-09
2,separable,x,0.14269559422159997,0.14269559422244732,8.473499679695351e-13,8.339709478555335e-11
2,separable,y,0.29172637019920267,0.29172637020201103,2.8083646519405647e-12,2.7673652258641823e-10
2,separable,xx,0.7816265111438369,0.7816265111470857,3.2488456369605956e-12,3.300069106870751e-10
2,separable,xy,0.43612814666686905,0.4361281466681061,1.2370660051885807e-12,1.2321843545493039e-10
2,separable,yy,2.1724355526632273,2.1724355526741004,5.0050185381034715e-12,4.980171290786592e-10
2,separable,xxx,5.054369035625497,5.054369035708448,1.6411825674352698e-11,1.6261802310669183e-09
2,separable,xxy,1.4849130474737788,1.4849130474768055,2.0382944407930924e-12,2.302091401532313e-10
2,separable,xyy,1.3101010542902496,1.310101054292643,1.8268963211995737e-12,2.48863481174619e-10
2,separable,yyy,16.771908940847318,16.77190894111537,1.598221454734846e-11,1.5823828577019192e-09
3,shear,x,0.3320787531248196,0.33207875312599217,1.172562047457859e-12,9.823275526343878e-11
3,shear,y,0.4041390855690719,0.40413908557098704,1.915134717478395e-12,2.2147472744649122e-10
3,shear,z,0.1862923683893576,0.18629236839049879,1.1411982470121984e-12,1.140451622028138e-10
3,shear,xx,1.0391675000044456,1.0391675000031497,1.2470100482728289e-12,3.0009587410326074e-10
3,shear,xy,0.889594985001099,0.889594985000193,9.060530103965903e-13,1.911992786318706e-11
3,shear,xz,0.41096504824211155,0.4109650482426436,5.320743845516063e-13,1.4217016452988673e-11
3,shear,yy,2.182846891521771,2.1828468915248314,1.401939255088597e-12,2.1912589276637074e-10
3,shear,yz,0.1987590788692973,0.19875907886940414,1.0683121054455569e-13,3.522257485677471e-11
3,shear,zz,0.848123556266214,0.8481235562699735,3.759437205985705e-12,3.3678404509629445e-10
3,shear,xxx,5.953499999993859,5.953500000029998,6.0702262062646e-12,4.988662544257893e-10
3,shear,xxy,1.7128370000072934,1.7128369999996838,4.4427407017638885e-12,1.8275763725986093e-11
3,shear,xxz,-0.08478543150916439,-0.08478543150003857,9.125811217813862e-12,3.816086335817204e-12
3,shear,xyy,1.6120759340167794,1.6120759340035669,8.195980035906813e-12,2.19059136278002e-10
3,shear,xyz,0.9202022412779971,0.920202241266758,1.1239120745187847e-11,2.3956725492269015e-11
3,shear,xzz,0.17182848456201513,0.17182848455729258,4.722555679848028e-12,9.03305208410643e-13
3,shear,yyy,13.42270830115159,13.422708301218812,5.007997939617034e-12,2.2725196760047452e-10
3,shear,yyz,-0.5184240609088417,-0.5184240609095675,7.257527911974648e-13,7.537537261015359e-11
3,shear,yzz,0.6732890584703698,0.6732890584742407,3.870903597658071e-12,3.2222424728445276e-10
3,shear,zzz,6.911828375411808,6.911828375457367,6.59147038434721e-12,4.2721106370500895e-10
