rank,element,sample,x,y,value
0,0,polynomial,0.0088515681000703259,0,0.24953493648006231
0,0,polynomial,0.039269908169872414,0,0.26415294529725813
0,0,polynomial,0.069688248239674497,0,0.27879675049348057
0,0,center,0.039269908169872414,0,0.26415294529725813
0,1,polynomial,0.087391384439815145,0,0.28733078722597599
0,1,polynomial,0.11780972450961724,0,0.30201308577925068
0,1,polynomial,0.14822806457941934,0,0.31671691528013957
0,1,center,0.11780972450961724,0,0.30201308577925068
0,2,polynomial,0.16593120077955997,0,0.32528396317614622
0,2,polynomial,0.19634954084936207,0,0.34001967601495736
0,2,polynomial,0.22676788091916417,0,0.3547723766702407
0,2,center,0.19634954084936207,0,0.34001967601495736
0,3,polynomial,0.2444710171193048,0,0.36336576080254201
0,3,polynomial,0.2748893571891069,0,0.37814308060298668
0,3,polynomial,0.30530769725890899,0,0.39293320780128344
0,3,center,0.2748893571891069,0,0.37814308060298668
0,4,polynomial,0.32301083345904963,0,0.40154647695910922
0,4,polynomial,0.35342917352885173,0,0.41635480630959104
0,4,polynomial,0.38384751359865382,0,0.43117169725194221
0,4,center,0.35342917352885173,0,0.41635480630959104
0,5,polynomial,0.40155064979879446,0,0.43979857649863152
0,5,polynomial,0.43196898986859655,0,0.4546268126280254
0,5,polynomial,0.46238732993839865,0,0.46945947592729137
0,5,center,0.43196898986859655,0,0.4546268126280254
0,6,polynomial,0.48009046613853928,0,0.47809364747624367
0,6,polynomial,0.51050880620834138,0,0.49293129341639308
0,6,polynomial,0.54092714627814342,0,0.50776926222579366
0,6,center,0.51050880620834138,0,0.49293129341639308
0,7,polynomial,0.55863028247828417,0,0.51640462282211741
0,7,polynomial,0.58904862254808621,0,0.53124093809233552
0,7,polynomial,0.61946696261788825,0,0.54607343171194489
0,7,center,0.58904862254808621,0,0.53124093809233552
0,8,polynomial,0.63717009881802888,0,0.55470370394010249
0,8,polynomial,0.66758843888783104,0,0.56952809766159984
0,8,polynomial,0.69800677895763308,0,0.58434455928111995
0,8,center,0.66758843888783104,0,0.56952809766159984
0,9,polynomial,0.71570991515777382,0,0.59296360092726008
0,9,polynomial,0.74612825522757587,0,0.6077653431739114
0,9,polynomial,0.77654659529737791,0,0.62255493372123571
0,9,center,0.74612825522757587,0,0.6077653431739114
0,10,polynomial,0.79424973149751854,0,0.63115639208749741
0,10,polynomial,0.82466807156732069,0,0.64592462512151272
0,10,polynomial,0.85508641163712285,0,0.66067647085503456
0,10,center,0.82466807156732069,0,0.64592462512151272
0,11,polynomial,0.87278954783726359,0,0.66925400327279994
0,11,polynomial,0.90320788790706552,0,0.6839776890603545
0,11,polynomial,0.93362622797686767,0,0.69868059689947082
0,11,center,0.90320788790706552,0,0.6839776890603545
0,12,polynomial,0.95132936417700831,0,0.70722761801935274
0,12,polynomial,0.98174770424681035,0,0.7218953931460278
0,12,polynomial,1.0121660443166125,0,0.73653791306193495
0,12,center,0.98174770424681035,0,0.7218953931460278
0,13,polynomial,1.0298691805167532,0,0.7450477158996992
0,13,polynomial,1.0602875205865552,0,0.75964791810564769
0,13,polynomial,1.0907058606563573,0,0.77421818977334855
0,13,center,1.0602875205865552,0,0.75964791810564769
0,14,polynomial,1.1084089968564979,0,0.78268377781050591
0,14,polynomial,1.1388273369263,0,0.79720425305839782
0,14,polynomial,1.1692456769961022,0,0.81168995218675621
0,14,center,1.1388273369263,0,0.79720425305839782
0,15,polynomial,1.1869488131962429,0,0.82010407229886906
0,15,polynomial,1.2173671532660448,0,0.83453218830837317
0,15,polynomial,1.247785493335847,0,0.84892042848660065
0,15,center,1.2173671532660448,0,0.83453218830837317
0,16,polynomial,1.2654886295359875,0,0.85727545968595598
0,16,polynomial,1.2959069696057897,0,0.87159791567527145
0,16,polynomial,1.3263253096755918,0,0.88587513188726541
0,16,center,1.2959069696057897,0,0.87159791567527145
0,17,polynomial,1.3440284458757323,0,0.89416305529288798
0,17,polynomial,1.3744467859455345,0,0.90836584313577884
0,17,polynomial,1.4048651260153366,0,0.92251769326960709
0,17,center,1.3744467859455345,0,0.90836584313577884
0,18,polynomial,1.4225682622154772,0,0.93073000300738085
0,18,polynomial,1.4529866022852793,0,0.9447982228536731
0,18,polynomial,1.4834049423550815,0,0.95880943216952907
0,18,center,1.4529866022852793,0,0.9447982228536731
0,19,polynomial,1.5011080785552222,0,0.96693706204262142
0,19,polynomial,1.5315264186250241,0,0.9808548195420852
0,19,polynomial,1.5619447586948263,0,0.99470904725404563
0,19,center,1.5315264186250241,0,0.9808548195420852
0,20,polynomial,1.5796478948949668,0,1.0027422752980311
0,20,polynomial,1.610066234964769,0,1.0164924826629684
0,20,polynomial,1.6404845750345711,0,1.030172125821591
0,20,center,1.610066234964769,0,1.0164924826629684
0,21,polynomial,1.6581877112347116,0,1.0381004642319873
0,21,polynomial,1.688606051304514,0,1.0516646662198197
0,21,polynomial,1.7190243913743162,0,1.0651506658033241
0,21,center,1.688606051304514,0,1.0516646662198197
0,22,polynomial,1.7367275275744569,0,1.0729627363285543
0,22,polynomial,1.7671458676442586,0,1.0863208651693212
0,22,polynomial,1.7975642077140606,0,1.0995924486905018
0,22,center,1.7671458676442586,0,1.0863208651693212
0,23,polynomial,1.8152673439142013,0,1.1072758286902786
0,23,polynomial,1.8456856839840032,0,1.1204059413247456
0,23,polynomial,1.8761040240538056,0,1.1334403387874794
0,23,center,1.8456856839840032,0,1.1204059413247456
0,24,polynomial,1.8938071602539461,0,1.140981384343549
0,24,polynomial,1.9242255003237483,0,1.1538593290875776
0,24,polynomial,1.9546438403935504,0,1.1666314150352095
0,24,center,1.9242255003237483,0,1.1538593290875776
0,25,polynomial,1.9723469765936912,0,1.1740150418126745
0,25,polynomial,2.0027653166634929,0,1.1866140686168885
0,25,polynomial,2.033183656733295,0,1.1990959406077155
0,25,center,2.0027653166634929,0,1.1866140686168885
0,26,polynomial,2.050886792933436,0,1.2063053624498072
0,26,polynomial,2.0813051330032382,0,1.2185956390275072
0,26,polynomial,2.1117234730730399,0,1.2307560926654832
0,26,center,2.0813051330032382,0,1.2185956390275072
0,27,polynomial,2.1294266092731808,0,1.2377724967722772
0,27,polynomial,2.1598449493429825,0,1.249720518627303
0,27,polynomial,2.1902632894127847,0,1.2615244045430192
0,27,center,2.1598449493429825,0,1.249720518627303
0,28,polynomial,2.2079664256129257,0,1.2683265511426252
0,28,polynomial,2.2383847656827278,0,1.2798944028373564
0,28,polynomial,2.2688031057525295,0,1.2913018179397722
0,28,center,2.2383847656827278,0,1.2798944028373564
0,29,polynomial,2.28650624195267,0,1.2978655358855977
0,29,polynomial,2.3169245820224722,0,1.3090099635269348
0,29,polynomial,2.3473429220922744,0,1.3199752300975991
0,29,center,2.3169245820224722,0,1.3090099635269348
0,30,polynomial,2.3650460582924153,0,1.3262727769924065
0,30,polynomial,2.3954643983622175,0,1.3369440026842789
0,30,polynomial,2.4258827384320192,0,1.3474143565250132
0,30,center,2.3954643983622175,0,1.3369440026842789
0,31,polynomial,2.4435858746321601,0,1.3534135935927327
0,31,polynomial,2.4740042147019619,0,1.3635537831869571
0,31,polynomial,2.504422554771764,0,1.3734676670107926
0,31,center,2.4740042147019619,0,1.3635537831869571
0,32,polynomial,2.5221256909719045,0,1.3791309801154488
0,32,polynomial,2.5525440310417071,0,1.3886722284409228
0,32,polynomial,2.5829623711115088,0,1.3979570325574362
0,32,center,2.5525440310417071,0,1.3886722284409228
0,33,polynomial,2.6006655073116498,0,1.403239896627404
0,33,polynomial,2.6310838473814515,0,1.4121015340244176
0,33,polynomial,2.6615021874512537,0,1.4206705513584181
0,33,center,2.6310838473814515,0,1.4121015340244176
0,34,polynomial,2.6792053236513946,0,1.4255195836480792
0,34,polynomial,2.7096236637211968,0,1.433604501627108
0,34,polynomial,2.7400420037909985,0,1.441352736260874
0,34,center,2.7096236637211968,0,1.433604501627108
0,35,polynomial,2.7577451399911395,0,1.4457029984162824
0,35,polynomial,2.7881634800609412,0,1.4528925239299317
