family,levels,p,g,extra,constant,elements,dofs,l2,relative_l2,h1_seminorm,energy_error,sampled_linf,area,relative_area_error,radial_rms,radial_max,mean_balance_defect,relative_residual,iterations,solve_and_measure_seconds
tri,1,1,1,0,0,32,18,0.32427529507225855,0.39350506378689731,1.2010330060818546,1.244039689355696,0.17867298567357012,10.41775152135785,0.17098167473639261,0.11457230198643654,0.18350341907227408,5.4172480741085428e-15,5.2850508937695608e-14,10,0.00312825
tri,2,1,1,0,0,128,66,0.10630941475543081,0.11948009405992761,0.63121432089144303,0.64010406229306793,0.078902998843377703,11.946653252964873,0.049315540692884602,0.032040212658546098,0.057190958417936644,5.7828122776354685e-15,6.6833155381806803e-13,18,0.007986
tri,3,1,1,0,0,512,258,0.028499585430276829,0.031363580860818821,0.31790748255934581,0.31918238334362753,0.020831691608899583,12.403839106949974,0.012933846406175488,0.0083646655922768789,0.015268072165338209,2.812879529574723e-14,4.6799709561651524e-13,33,0.040245499999999997
tri,1,2,2,0,0,32,66,0.039061343902706699,0.042927192784155584,0.30772234692728123,0.31019160431243065,0.027584284730595099,12.472305952805607,0.0074854279282580314,0.007273475260164859,0.014718157698277334,1.9663152485950853e-16,8.2885108210306011e-14,20,0.0047997919999999998
tri,2,2,2,0,0,128,258,0.0053614848258609548,0.0058606629420567581,0.089486401210785521,0.089646871229260502,0.0040060398510076145,12.558207020691453,0.00064963814280559744,0.001304385160405492,0.0033309048248290063,2.6861008404766209e-15,8.2456552597480391e-13,34,0.018968875
tri,3,2,2,0,0,512,1026,0.0007719683276498782,0.00084344386919005981,0.02443555064547984,0.024447741622626511,0.0006960090653448936,12.565829070217283,4.3094713542046979e-05,0.00016474444070775003,0.00044537271589295546,5.4650796014399275e-14,1.1274401830136286e-12,66,0.073692416999999996
tri,1,3,3,0,0,32,146,0.010684837227602564,0.011664738708008477,0.11674188632295918,0.11722983310072177,0.0076486472815931877,12.586495628360428,0.0016014977290467029,0.0026723692715094204,0.0069382525423551389,1.9986141984055679e-12,3.5228891878993397e-13,32,0.023771125000000001
tri,2,3,3,0,0,128,578,0.00091055094712315929,0.00099476523948972243,0.018481026874694054,0.01850344447313718,0.0010472962783988349,12.567600558871225,9.7875874410987201e-05,0.00016998659105971087,0.00066373528969809747,1.3146394309517445e-13,1.21052152835339e-12,60,0.094657667000000001
tri,3,3,3,0,0,512,2306,5.2317537361940468e-05,5.7159195636628045e-05,0.002200530080625116,0.0022011519167135186,6.3470773876361797e-05,12.566455313794645,6.7401669162628827e-06,1.0813682785861378e-05,4.6924646746715482e-05,2.9916726198121252e-14,1.1045751497332722e-12,115,0.38118554199999999
quad,1,1,1,0,0,24,26,0.20350740832153585,0.23624685954615024,0.89862982301144245,0.92138527449016938,0.11306146858333738,11.040293734275599,0.12144133950177918,0.087702879115595447,0.12666067231755151,1.3613345644853301e-14,8.7056233721095734e-14,10,0.0018857920000000001
quad,2,1,1,0,0,96,98,0.05545968527919027,0.06154079299618867,0.42605530509267314,0.42964974070616829,0.034119103873088974,12.116616437395566,0.035790300219992542,0.026432441768177987,0.04885900143984645,4.3550255366158791e-15,1.898202439207684e-13,19,0.0068490000000000001
quad,3,1,1,0,0,384,386,0.014554209316342904,0.01596492075743541,0.21315644753557178,0.21365274661190031,0.010694991224298345,12.449215784192656,0.0093228851640462726,0.0069058133196166068,0.014347687007940202,9.918314144720417e-14,1.1059049587726095e-12,37,0.027156416999999999
quad,1,2,2,0,0,24,98,0.014098323546904035,0.015386816526331386,0.14061560564105682,0.14132059749602816,0.010662766591479411,12.508137579614015,0.0046340376654669451,0.0096162999881922295,0.02126832941051493,8.6687496371970173e-14,1.1613932800272825e-12,22,0.0031788329999999998
quad,2,2,2,0,0,96,386,0.0027926314683808565,0.0030509933817899652,0.052971936423847725,0.053045497820365078,0.0025648004513264544,12.562903195534583,0.00027592842285167695,0.00097444215928884736,0.0024637778399796417,2.6920407597933907e-14,1.3270280457396666e-12,45,0.012669540999999999
quad,3,2,2,0,0,384,1538,0.00040368937074056438,0.00044104945488971335,0.014081654480099362,0.014087439724980241,0.00032340630567168072,12.566146699502575,1.7818578129616308e-05,0.00011937206404477729,0.00033492632202014594,4.4096148953437605e-15,9.4075046894473265e-13,83,0.051880500000000003
quad,1,3,3,0,0,24,218,0.0054092294284476322,0.0059101993498648165,0.067743144303819974,0.067958762225174177,0.0029968426216921279,12.565397814835823,7.7412926389273883e-05,0.00035865935164165519,0.00086153933780541703,5.3631228948070392e-14,6.0161827627592986e-13,38,0.0061867909999999996
quad,2,3,3,0,0,96,866,0.0004529241296400506,0.0004948410229656424,0.0098929775228477068,0.009903340069632071,0.0004160999810365329,12.566341249403806,2.3367889001553507e-06,9.6516948011247502e-05,0.0002918441827993723,7.1832965748667645e-14,1.0345760171679302e-12,67,0.02446425
quad,3,3,3,0,0,384,3458,2.5006176152625168e-05,2.7320457432636094e-05,0.0011211481363674069,0.0011214269715527113,3.0509565301650721e-05,12.566370106253951,4.0433728837850074e-08,6.7181200657019518e-06,2.8958509692755818e-05,2.5339351209971151e-14,1.3753048757995882e-12,127,0.10637308299999999
tri,4,2,2,0,0,2048,4098,9.9222781811595341e-05,0.0001084059495604175,0.0062051691297571755,0.0062059623822032514,9.2491178828757459e-05,12.566336284417558,2.731889952024658e-06,2.0500284872939749e-05,5.366375359805442e-05,2.1805895541445682e-15,8.3395308717890949e-13,129,0.30029141599999998
quad,4,2,2,0,0,1536,6146,5.113521569266191e-05,5.5867693311698653e-05,0.0035384813905180068,0.0035388508532186239,4.5928112390847264e-05,12.566356482591692,1.1245703245864017e-06,1.4902595817124505e-05,3.9619864274920147e-05,6.2478100880336778e-14,1.3488741693552517e-12,176,0.224329375
tri,3,2,1,0,0,512,1026,0.011382217118696213,0.012526044908652447,0.037400024045445658,0.039093690861020713,0.0060629538594539345,12.403839106949217,0.012933846406235707,0.0083646655922772501,0.015268072165338209,3.4081388865355387e-16,7.6686760055232155e-13,71,0.044342917000000003
tri,3,2,3,0,0,512,1026,0.0010457627010959771,0.0011425414466282146,0.031993046891343239,0.032010133848809359,0.00093522665707140851,12.566455313754146,6.7401636934421637e-06,1.0813682986542945e-05,4.6486096507925012e-05,1.390264525192864e-14,1.1613635595271998e-12,66,0.10182225
quad,3,2,1,0,0,384,1538,0.0063304216612484979,0.0069440172245907993,0.027380274134791934,0.028102555935458264,0.0034848858348178746,12.449215784192292,0.0093228851640752512,0.0069058133196167092,0.014611679077985107,7.8924166699014041e-14,9.2752792976425458e-13,88,0.041926875000000002
quad,3,2,3,0,0,384,1538,0.0006831162955584384,0.00074633760717490998,0.021150946208825058,0.021161974704688329,0.00063638186658497575,12.566370106254176,4.0433710885385868e-08,6.7181200656648086e-06,3.0939076851921321e-05,2.2314674980928208e-14,9.9368612641439076e-13,83,0.069547791999999997
tri,3,2,2,6,0,512,1026,0.00077196832775157061,0.00084344386930031926,0.02443555065074406,0.024447741627891317,0.00069861802897785985,12.565829070245636,4.3094711285832165e-05,0.00016474444081606164,0.00044845234430490599,1.9850141875115812e-12,1.1272610565849276e-12,66,0.32178774999999998
quad,3,2,2,6,0,384,1538,0.00040368937074051857,0.00044104945488967031,0.014081654480099379,0.014087439724980257,0.00032334370842551641,12.566146699503159,1.781857808310953e-05,0.00011937206404476452,0.00033409160525132986,7.0737565901720007e-15,9.4000462334557383e-13,83,0.080327042000000001
tri,2,2,2,0,1,128,258,1.6937966046153964e-13,4.7796647833663768e-14,6.7962436921304604e-13,7.0041327272282419e-13,1.2656542480726785e-13,12.558207020691453,0.00064963814280559744,0.001304385160405492,0.0033309048248290063,8.7041485130612273e-14,1.028015749629989e-12,36,0.017284333999999998
quad,2,2,2,0,1,96,386,1.7673309185291421e-13,4.9862364442200302e-14,5.466134658418422e-13,5.7447442658095874e-13,1.2823075934420558e-13,12.562903195534583,0.00027592842285167695,0.00097444215928884736,0.0024637778399796417,1.3500311979441904e-13,8.4285092454065406e-13,42,0.012811042
