element,triangle,vertex,x,y,z,u,exact,error
0,0,0,1,0,0,1.0001544714694464,1,0.00015447146944636003
0,0,1,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,1.0143328184859302,1.0141649323267072,0.00016788615922291861
0,0,2,0.99959862883495365,-7.8631170056837355e-18,0.028329864653414302,1.0001002015191187,1,0.00010020151911871444
0,1,0,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,1.0143328184859302,1.0141649323267072,0.00016788615922291861
0,1,1,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,1,2,0.99959862883495365,-7.8631170056837355e-18,0.028329864653414302,1.0001002015191187,1,0.00010020151911871444
0,2,0,0.99959862883495365,0.028329864653414302,-7.8631170056837355e-18,1.0143328184859302,1.0141649323267072,0.00016788615922291861
0,2,1,0.99839094927118155,0.056705488388592629,0,1.0285111655024142,1.0283527441942963,0.00015842130811782873
0,2,2,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,3,0,0.99839094927118155,0.056705488388592629,0,1.0285111655024142,1.0283527441942963,0.00015842130811782873
0,3,1,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,3,2,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,4,0,0.99839094927118155,0.056705488388592629,0,1.0285111655024142,1.0283527441942963,0.00015842130811782873
0,4,1,0.99637598178091147,0.085058232582888971,0,1.042689512518898,1.0425291162914445,0.00016039622745345206
0,4,2,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,5,0,0.99637598178091147,0.085058232582888971,0,1.042689512518898,1.0425291162914445,0.00016039622745345206
0,5,1,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,5,2,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,6,0,0.99637598178091147,0.085058232582888971,0,1.042689512518898,1.0425291162914445,0.00016039622745345206
0,6,1,0.99355860436086385,0.11331945861365723,0,1.0568678595353818,1.0566597293068287,0.00020813022855303842
0,6,2,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,7,0,0.99355860436086385,0.11331945861365723,0,1.0568678595353818,1.0566597293068287,0.00020813022855303842
0,7,1,0.9931326192185399,0.11350087076783313,0.028375217691958277,1.0568135895850541,1.0567504353839166,6.3154201137560761e-05
0,7,2,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,8,0,0.99355860436086385,0.11331945861365723,0,1.0568678595353818,1.0566597293068287,0.00020813022855303842
0,8,1,0.98994949366116647,0.1414213562373095,0,1.0710462065518656,1.0707106781186548,0.0003355284332107189
0,8,2,0.9931326192185399,0.11350087076783313,0.028375217691958277,1.0568135895850541,1.0567504353839166,6.3154201137560761e-05
0,9,0,0.99959862883495365,-7.8631170056837355e-18,0.028329864653414302,1.0001002015191187,1,0.00010020151911871444
0,9,1,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,9,2,0.99839094927118155,0,0.056705488388592629,1.0000459315687913,1,4.59315687912909e-05
0,10,0,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,10,1,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,10,2,0.99839094927118155,0,0.056705488388592629,1.0000459315687913,1,4.59315687912909e-05
0,11,0,0.99919450296262946,0.028375563864563386,0.028375563864563386,1.0142785485356025,1.0141877819322818,9.0766603320746597e-05
0,11,1,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,11,2,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,12,0,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,12,1,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,12,2,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,13,0,0.99798178509957347,0.056796877445641158,0.028398438722820579,1.0284568955520865,1.0283984387228207,5.8456829265862709e-05
0,13,1,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,13,2,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,14,0,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,14,1,0.99473573990560793,0.085263063420480706,0.056842042280320457,1.0425809726182427,1.0426315317102404,-5.0559091997692818e-05
0,14,2,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,15,0,0.99595951347369926,0.085194969153754144,0.028398323051251374,1.0426352425685703,1.0425974845768771,3.7757991693254667e-05
0,15,1,0.9931326192185399,0.11350087076783313,0.028375217691958277,1.0568135895850541,1.0567504353839166,6.3154201137560761e-05
0,15,2,0.99473573990560793,0.085263063420480706,0.056842042280320457,1.0425809726182427,1.0426315317102404,-5.0559091997692818e-05
0,16,0,0.99839094927118155,0,0.056705488388592629,1.0000459315687913,1,4.59315687912909e-05
0,16,1,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,16,2,0.99637598178091147,0,0.085058232582888971,0.99999166161846365,1,-8.3383815363546887e-06
0,17,0,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,17,1,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,17,2,0.99637598178091147,0,0.085058232582888971,0.99999166161846365,1,-8.3383815363546887e-06
0,18,0,0.99798178509957336,0.028398438722820572,0.056796877445641152,1.0142242785852751,1.0141992193614102,2.5059223864865032e-05
0,18,1,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,18,2,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,19,0,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,19,1,0.99473573990560793,0.056842042280320457,0.085263063420480706,1.0283483556514312,1.0284210211401603,-7.2665488729084515e-05
0,19,2,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,20,0,0.996763692659972,0.056842506079768707,0.056842506079768707,1.0284026256017589,1.0284212530398844,-1.8627438125529139e-05
0,20,1,0.99473573990560793,0.085263063420480706,0.056842042280320457,1.0425809726182427,1.0426315317102404,-5.0559091997692818e-05
0,20,2,0.99473573990560793,0.056842042280320457,0.085263063420480706,1.0283483556514312,1.0284210211401603,-7.2665488729084515e-05
0,21,0,0.99637598178091147,0,0.085058232582888971,0.99999166161846365,1,-8.3383815363546887e-06
0,21,1,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,21,2,0.99355860436086385,0,0.11331945861365723,0.99993739166813611,1,-6.2608331863889255e-05
0,22,0,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,22,1,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.01411573868462,1.0141876088459791,-7.1870161359122164e-05
0,22,2,0.99355860436086385,0,0.11331945861365723,0.99993739166813611,1,-6.2608331863889255e-05
0,23,0,0.99595951347369926,0.028398323051251367,0.085194969153754144,1.0141700086349474,1.0141991615256256,-2.9152890678174614e-05
0,23,1,0.99473573990560793,0.056842042280320457,0.085263063420480706,1.0283483556514312,1.0284210211401603,-7.2665488729084515e-05
0,23,2,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.01411573868462,1.0141876088459791,-7.1870161359122164e-05
0,24,0,0.99355860436086385,0,0.11331945861365723,0.99993739166813611,1,-6.2608331863889255e-05
0,24,1,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.01411573868462,1.0141876088459791,-7.1870161359122164e-05
0,24,2,0.98994949366116647,0,0.1414213562373095,0.99988312171780858,1,-0.00011687828219142382
1,25,0,0.97332852678457549,0.16222142113076257,0.16222142113076257,1.0812555242150788,1.0811107105653812,0.0001448136496975394
1,25,1,0.97877109129857609,0.13005862502787516,0.158404245189493,1.0650381590486964,1.0650293125139376,8.8465347587440846e-06
1,25,2,0.97877109129857609,0.158404245189493,0.13005862502787516,1.0791867232402024,1.0792021225947466,-1.5399354544198829e-05
1,26,0,0.97877109129857609,0.13005862502787516,0.158404245189493,1.0650381590486964,1.0650293125139376,8.8465347587440846e-06
1,26,1,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,26,2,0.97877109129857609,0.158404245189493,0.13005862502787516,1.0791867232402024,1.0792021225947466,-1.5399354544198829e-05
1,27,0,0.97877109129857609,0.13005862502787516,0.158404245189493,1.0650381590486964,1.0650293125139376,8.8465347587440846e-06
1,27,1,0.98317048543478713,0.097650043276446302,0.15440293267303334,1.048820793882314,1.0488250216382231,-4.227755909136377e-06
1,27,2,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,28,0,0.98317048543478713,0.097650043276446302,0.15440293267303334,1.048820793882314,1.0488250216382231,-4.227755909136377e-06
1,28,1,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,28,2,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,29,0,0.98317048543478713,0.097650043276446302,0.15440293267303334,1.048820793882314,1.0488250216382231,-4.227755909136377e-06
1,29,1,0.98650551176994927,0.065100028850964206,0.1502293629458448,1.0326034287159314,1.0325500144254822,5.3414290449138591e-05
1,29,2,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,30,0,0.98650551176994927,0.065100028850964206,0.1502293629458448,1.0326034287159314,1.0325500144254822,5.3414290449138591e-05
1,30,1,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,30,2,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,31,0,0.98650551176994927,0.065100028850964206,0.1502293629458448,1.0326034287159314,1.0325500144254822,5.3414290449138591e-05
1,31,1,0.98876530206711344,0.032514656256968789,0.14589713690344033,1.016386063549549,1.0162573281284843,0.00012873542106461855
1,31,2,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,32,0,0.98876530206711344,0.032514656256968789,0.14589713690344033,1.016386063549549,1.0162573281284843,0.00012873542106461855
1,32,1,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.0143172625746728,1.0141876088459791,0.00012965372869366831
1,32,2,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,33,0,0.98876530206711344,0.032514656256968789,0.14589713690344033,1.016386063549549,1.0162573281284843,0.00012873542106461855
1,33,1,0.98994949366116647,0,0.1414213562373095,1.0001686983831666,1,0.0001686983831665767
1,33,2,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.0143172625746728,1.0141876088459791,0.00012965372869366831
1,34,0,0.97877109129857609,0.158404245189493,0.13005862502787516,1.0791867232402024,1.0792021225947466,-1.5399354544198829e-05
1,34,1,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,34,2,0.98317048543478713,0.15440293267303334,0.097650043276446302,1.0771179222653264,1.0772014663365166,-8.3544071190155833e-05
1,35,0,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,35,1,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,35,2,0.98317048543478713,0.15440293267303334,0.097650043276446302,1.0771179222653264,1.0772014663365166,-8.3544071190155833e-05
1,36,0,0.98396311403509196,0.12612809008774528,0.12612809008774528,1.06296935807382,1.0630640450438726,-9.4686970052659802e-05
1,36,1,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,36,2,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,37,0,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,37,1,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,37,2,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,38,0,0.9880980729964095,0.093627376920384045,0.12204963101865775,1.0467519929074378,1.046813688460192,-6.1695552754148508e-05
1,38,1,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,38,2,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,39,0,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,39,1,0.99473573990560793,0.056842042280320443,0.085263063420480678,1.028465826766179,1.0284210211401603,4.4805626018717959e-05
1,39,2,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,40,0,0.99115729630305871,0.061007507950768217,0.11783589418699091,1.0305346277410552,1.0305037539753841,3.0873765671124431e-05
1,40,1,0.9931326192185399,0.028375217691958277,0.11350087076783313,1.0143172625746728,1.0141876088459791,0.00012965372869366831
1,40,2,0.99473573990560793,0.056842042280320443,0.085263063420480678,1.028465826766179,1.0284210211401603,4.4805626018717959e-05
1,41,0,0.98317048543478713,0.15440293267303334,0.097650043276446302,1.0771179222653264,1.0772014663365166,-8.3544071190155833e-05
1,41,1,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,41,2,0.98650551176994927,0.1502293629458448,0.065100028850964206,1.07504912129045,1.0751146814729224,-6.5560182472390593e-05
1,42,0,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,42,1,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,42,2,0.98650551176994927,0.1502293629458448,0.065100028850964206,1.07504912129045,1.0751146814729224,-6.5560182472390593e-05
1,43,0,0.98809807299640962,0.12204963101865776,0.093627376920384073,1.0609005570989438,1.0610248155093289,-0.00012425841038510299
1,43,1,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,43,2,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,44,0,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,44,1,0.99473573990560793,0.085263063420480678,0.056842042280320443,1.0426143909576853,1.0426315317102404,-1.7140752555100391e-05
1,44,2,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,45,0,0.99195849379255485,0.089493984693961165,0.089493984693961165,1.0446831919325614,1.0447469923469805,-6.3800414419112883e-05
1,45,1,0.99473573990560793,0.056842042280320443,0.085263063420480678,1.028465826766179,1.0284210211401603,4.4805626018717959e-05
1,45,2,0.99473573990560793,0.085263063420480678,0.056842042280320443,1.0426143909576853,1.0426315317102404,-1.7140752555100391e-05
1,46,0,0.98650551176994927,0.1502293629458448,0.065100028850964206,1.07504912129045,1.0751146814729224,-6.5560182472390593e-05
1,46,1,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,46,2,0.98876530206711344,0.14589713690344033,0.032514656256968789,1.0729803203155739,1.0729485684517202,3.1751863853735074e-05
1,47,0,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,47,1,0.9931326192185399,0.11350087076783313,0.028375217691958277,1.0567629551491915,1.0567504353839166,1.251976527494314e-05
1,47,2,0.98876530206711344,0.14589713690344033,0.032514656256968789,1.0729803203155739,1.0729485684517202,3.1751863853735074e-05
1,48,0,0.9911572963030586,0.11783589418699089,0.061007507950768203,1.0588317561240677,1.0589179470934955,-8.6190969427857311e-05
1,48,1,0.99473573990560793,0.085263063420480678,0.056842042280320443,1.0426143909576853,1.0426315317102404,-1.7140752555100391e-05
