family,n,p,amplitude,qextra,field,multi,path,error_l2,path_minus_mean_l2,exact_l2,best_projection_error_l2,input_error_l2,first_weak_relative,constant_max,min_jacobian_det,quadrature_order,elements
tri,2,4,0.40000000000000002,0,sine,xy,xy,0.18109529541027852,0.014317123981326304,4.2297519258051484,0.0022292569200969598,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xy,yx,0.18114016054103102,0.014317123981326306,4.2297519258051484,0.0022292569200969598,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xy,mean,0.1805509674612307,0,4.2297519258051484,0.0022292569200969598,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xxy,xxy,2.2835589116423054,0.13215461388703281,8.5109808238880031,0.0052575044508008373,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xxy,xyx,2.2969637555862752,0.12093262743879001,8.5109808238880031,0.0052575044508008373,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xxy,yxx,2.31674027047467,0.24611318226505449,8.5109808238880031,0.0052575044508008373,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xxy,mean,2.2924010729234232,0,8.5109808238880031,0.0052575044508008373,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xyy,xyy,2.8042650070436657,0.35534595422113557,12.766471235832043,0.0078862566762012715,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xyy,yxy,2.8398922756695648,0.17603588536512735,12.766471235832043,0.0078862566762012715,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xyy,yyx,2.83252457490007,0.18846267168905451,12.766471235832043,0.0078862566762012715,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,sine,xyy,mean,2.8142084900146815,0,12.766471235832043,0.0078862566762012715,0.00037154282001616157,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xy,xy,0.020915155334693618,0.0013465805867198353,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xy,yx,0.020935683645442016,0.0013465805867198264,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xy,mean,0.020882049873316131,0,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xxy,xxy,0.35595665729518938,0.017822903996548404,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xxy,xyx,0.35678745345369084,0.017338898422220524,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xxy,yxx,0.36198213256762385,0.034246487303433888,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xxy,mean,0.35741776579373002,0,1.1714413662129022,1.8405782956710138e-05,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xyy,xyy,0.32574570399537833,0.02096767512550423,0.58572068310645109,9.2028914783550688e-06,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xyy,yxy,0.31847185942446549,0.010343032697429588,0.58572068310645109,9.2028914783550688e-06,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xyy,yyx,0.31755227619272319,0.011841778533980949,0.58572068310645109,9.2028914783550688e-06,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,exponential,xyy,mean,0.32025364301206888,0,0.58572068310645109,9.2028914783550688e-06,3.6811565913420275e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xy,xy,0.024863597475504481,0.0017960116068814116,2.1602468994692905,1.1829645366953475e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xy,yx,0.024900047633012054,0.0017960116068814493,2.1602468994692905,1.1829645366953475e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xy,mean,0.024816925032788453,0,2.1602468994692905,1.1829645366953475e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xxy,xxy,0.40104262755866249,0.01861330438408897,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xxy,xyx,0.40233257240715348,0.017354256666517204,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xxy,yxx,0.40865702256090453,0.034780291366514955,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xxy,mean,0.40325755047081924,0,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xyy,xyy,0.41431121993200598,0.039039778487287125,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xyy,yxy,0.40941079050118362,0.019561597168832951,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xyy,yyx,0.40783788186531256,0.020754013430952942,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
tri,2,4,0.40000000000000002,0,cubic,xyy,mean,0.40957914610125851,0,1.9999999999999922,1.0844652912039954e-14,4.4474610183379513e-05,2.8171909249863347e-15,4.0856207306205761e-13,0.22500028835239091,28,8
