family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,x,recursive,0.0027382042527750888,0.0013616798694962673,0.12895089126449299,2.0109016180051524,0.0087509731904670002,0.0032640907123097696,0.0081946938680650255,0.0028892830085214477,6.5286796806682286e-15,0.0027382042527810172,0.0013616798694991781,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,x,direct,2.4703552382948699e-13,1.2284814016637489e-13,5.8708593542178278e-12,2.0109016180051524,5.7344797387668468e-13,2.1389463374916969e-13,6.8923013156858677e-13,3.4688515812277914e-13,6.5286796806682286e-15,0,0,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,y,recursive,0.00020377191854137162,0.00011588379871849826,0.0074343467005073549,1.7584159372991282,0.00053803329579202568,0.00026448521635386805,0.00056348642199906414,0.00024726007493024204,6.5286796806682286e-15,0.00020377191854021904,0.00011588379871784502,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,y,direct,2.1158648507665515e-13,1.203278931841606e-13,4.0438763448946702e-12,1.7584159372991282,4.0582664686418211e-13,1.9949536457596465e-13,5.790300190715265e-13,3.3916596597231847e-13,6.5286796806682286e-15,0,0,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,xx,recursive,0.64631601877428757,0.03439115982172665,26.749843427639263,18.793085843123464,2.5250948858396787,0.07253950876927405,1.0498646433295462,0.33948655442138059,6.5286796806682286e-15,0.64631601877434919,0.034391159821734678,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,xx,direct,1.6322942881339986e-11,8.6856107706828121e-13,3.4646063795662485e-10,18.793085843123464,3.6132155571135364e-11,1.0379842874829534e-12,2.9970917416790817e-11,1.0479577075284774e-11,6.5286796806682286e-15,0,0,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,xy,recursive,0.0084218004902021689,0.0072336978804601855,0.524603344548626,1.1642455393321458,0.024333127169269379,0.016830936636484026,0.033279865368581248,0.010182512496769261,6.5286796806682286e-15,0.0084218004905277088,0.0072336978807238028,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,xy,direct,7.9877457313512023e-12,6.8608772475377218e-12,1.4485301846889342e-10,1.1642455393321458,1.5552377172390391e-11,1.0757395583161408e-11,1.4891871530788688e-11,7.667204685811424e-12,6.5286796806682286e-15,0,0,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,yy,recursive,0.026636121062083927,0.0041038289114450682,0.78744732026057562,6.4905534896445367,0.075509091946157722,0.0093476767910088531,0.054708205618015149,0.025796852315481521,6.5286796806682286e-15,0.026636121060029338,0.0041038289111322707,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
tri,4,3,0.69999999999999996,gl,separable,0,represented_quadratic,yy,direct,8.6691394118409645e-12,1.3356548753002791e-12,1.1379341913198004e-10,6.4905534896445367,1.4224086690859506e-11,1.7608762283653858e-12,1.3374339645666505e-11,7.2023685307882114e-12,6.5286796806682286e-15,0,0,7.1054273576010019e-15,1.8207657603852567e-14,4.1204997038227226e-12,3.4638958368304884e-14,0.0095745905878978355,32
