family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
tri,4,3,0,gll,coupled,0,sine,x,recursive,0.0067979063538798892,0.0047923311034610847,0.080130736651576662,1.4184968039813342,0.014621829035565664,0.01031218148377348,0.019834875350913463,0.013541892537660362,0.00015442773307000165,1.2697673581626656e-13,8.9470796752189732e-14,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,x,direct,0.0067979063538766531,0.0047923311034588027,0.080130736651624623,1.4184968039813342,0.014621829035564254,0.010312181483772486,0.019834875350914136,0.013541892537656993,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,y,recursive,0.0089459036757465159,0.0042044055137042229,0.086300049061401207,2.1277452059720265,0.018796953862086178,0.0088378181733837873,0.023956367981979851,0.015687422730303744,0.00015442773307000165,1.317058448488249e-13,6.1870877808287134e-14,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,y,direct,0.0089459036757383904,0.0042044055137004039,0.086300049061248663,2.1277452059720265,0.018796953862076582,0.0088378181733792752,0.023956367981983934,0.015687422730291521,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xx,recursive,0.16652960883142745,0.05905651622809787,1.1434804273992389,2.8198346172034459,0.27487154026822536,0.097437675485915948,0.34899724891006145,0.25375262093252904,0.00015442773307000165,5.8499912401711137e-12,2.0234216066828067e-12,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xx,direct,0.16652960883088155,0.059056516227904275,1.1434804273937154,2.8198346172034459,0.27487154026738136,0.097437675485616757,0.34899724890331585,0.25375262092709244,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xy,recursive,0.16068895483191692,0.037990160569836867,1.1121905375127277,4.2297519258052168,0.29539107910359391,0.069807688054437309,0.28308632672593581,0.20162542270634815,0.00015442773307000165,4.0121854118276074e-12,9.3533189497867572e-13,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xy,direct,0.16068895483144321,0.03799016056972488,1.1121905375178471,4.2297519258052168,0.29539107910270296,0.069807688054226769,0.28308632672609546,0.20162542270846701,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,yy,recursive,0.32997963881646608,0.052009297409508423,2.0080495522299238,6.3446278887078114,0.54076385669677618,0.085196602718355927,0.52950073165164468,0.39804063684369895,0.00015442773307000165,4.1016590422524684e-12,6.3142644908679315e-13,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,yy,direct,0.32997963881581782,0.052009297409406248,2.0080495522218751,6.3446278887078114,0.54076385669576987,0.085196602718197387,0.52950073164661626,0.39804063683993507,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xxx,recursive,1.8843890901355866,0.33211021076089481,6.8381955774313656,5.6739872159253366,2.3632515289036098,0.41667630291979357,3.5040508448372321,2.8216247919415558,0.00015442773307000165,1.0015894694807079e-10,1.7789419632246749e-11,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xxx,direct,1.8843890901617351,0.33211021076550334,6.8381955774478449,5.6739872159253366,2.3632515289433309,0.41667630292679697,3.5040508448523657,2.8216247919167641,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xxy,recursive,2.2554179081473125,0.26500093876571096,8.718750660384103,8.5109808238881079,3.1095161529855351,0.36550255122342457,3.9969807425851025,3.2603041513759146,0.00015442773307000165,9.315227821458521e-11,1.1055833628085965e-11,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
tri,4,3,0,gll,coupled,0,sine,xxy,direct,2.2554179081096657,0.26500093876128761,8.7187506602870908,8.5109808238881079,3.1095161529282036,0.36550255121668568,3.9969807425367234,3.2603041513400237,0.00015442773307000165,0,0,0,1.3322676295501878e-14,2.229432687008805e-12,3.2862601528904634e-14,0.062499999999960761,32
