dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,8,0,quintic,reused_centered,3,1.1102230246251565e-12,8.612000002017339e-13,2.168404344971009e-15,1.4371808682600812e-13
2,8,0,quintic,recursive,4,5.999156726943511e-10,5.177966298423958e-10,1.464637872788943e-13,1.2116100648813662e-11
2,8,0,quintic,direct,4,1.2817198241698696e-09,1.2817198241698696e-09,3.1291987894772207e-13,1.7836865580342146e-11
2,8,0,quintic,fe_geometry,4,1.472802623658077e-09,1.472802623658077e-09,3.595709530415227e-13,2.102447316427024e-11
2,8,0,quintic,reused,4,1.475086719437968e-10,3.5121835803747106e-11,3.6012859361278515e-14,3.238623762481985e-12
2,8,0,quintic,reused_centered,4,9.3635321718466e-11,4.072604957545802e-11,2.2860185966422364e-14,1.603491328424365e-12
2,8,0,quintic,recursive,5,7.632427442606901e-08,7.632427442606901e-08,2.3292320076315006e-12,3.5044458317850506e-10
2,8,0,quintic,direct,5,7.861534524636229e-08,7.861534524636229e-08,2.3991499403797084e-12,3.6140568336690875e-10
2,8,0,quintic,fe_geometry,5,9.140683470076452e-08,9.140683470076452e-08,2.789515219139542e-12,4.0272869542324163e-10
2,8,0,quintic,reused,5,8.851515076457872e-09,4.031369508029618e-09,2.7012680287041846e-13,4.724529942772241e-11
2,8,0,quintic,reused_centered,5,5.7847492711111585e-09,5.7847492711111585e-09,1.7653653781467159e-13,3.3201114971497866e-11
2,8,0,quintic,recursive,6,5.903009166609125e-06,5.903009166609125e-06,2.2518192926823138e-11,nan
2,8,0,quintic,direct,6,4.15778717273497e-06,4.15778717273497e-06,1.586069935888279e-11,nan
2,8,0,quintic,fe_geometry,6,4.547687922324274e-06,4.547687922324274e-06,1.7348052682206247e-11,nan
2,8,0,quintic,reused,6,2.869478088874781e-07,2.869478088874781e-07,1.0946190219401477e-12,nan
2,8,0,quintic,reused_centered,6,4.856758616140146e-07,4.856758616140146e-07,1.8527063812790473e-12,nan
2,8,0,quintic,recursive,7,0.0004556499976826224,0.0004556499976826224,2.1727085003024217e-10,nan
2,8,0,quintic,direct,7,0.00013738610269501805,0.00013738610269501805,6.55107987856951e-11,nan
2,8,0,quintic,fe_geometry,7,0.00015817508680351255,0.00015817508680351255,7.542375888991954e-11,nan
2,8,0,quintic,reused,7,1.706478073042758e-05,1.706478073042758e-05,8.137121548856536e-12,nan
2,8,0,quintic,reused_centered,7,2.8013336423189197e-05,2.8013336423189197e-05,1.3357799731821631e-11,nan
2,8,0,quintic,recursive,8,0.03876516526932805,0.03876516526932805,2.3105839055376083e-09,nan
2,8,0,quintic,direct,8,0.008363903403282165,0.008363903403282165,4.985274912883142e-10,nan
2,8,0,quintic,fe_geometry,8,0.00913142941927402,0.00913142941927402,5.442756068273795e-10,nan
2,8,0,quintic,reused,8,0.0013969412393572069,0.0013969412393572069,8.326418634398024e-11,nan
2,8,0,quintic,reused_centered,8,0.0012044210009688838,0.0012044210009688838,7.178908592277073e-11,nan
