map,nx,ny,jet,decimal_fd_coarse,decimal_fd_fine,scaled_difference,reference_step_sensitivity
separable,1,0,1.3055414797482248,1.3055414820267868,1.3055414797710108,1.7453290964602982e-11,1.7278470622203462e-09
separable,0,1,-0.8837398104980059,-0.8837398107558164,-0.8837398105005838,2.5779378631796135e-12,2.552326128224536e-10
separable,2,0,22.44354001218959,22.44354001990232,22.443540012266723,3.4367558165191385e-12,3.402134985390637e-10
separable,1,1,-1.5460263614728502,-1.546026345162661,-1.54602636130975,1.0549639003195829e-10,1.0444252053722704e-08
separable,0,2,0.7167871843128342,0.7167871830282154,0.7167871842999879,1.2846279595635224e-11,1.2717724651167828e-09
separable,3,0,136.71369690232953,136.71369703494153,136.71369690365572,9.700457333595952e-12,9.60297460823009e-10
separable,2,1,34.65221849925144,34.65221851284004,34.652218499387324,3.9213706559412375e-12,3.88220821180935e-10
separable,1,2,2.7108345680752253,2.7108345674182326,2.710834568068645,2.427322530063647e-12,2.399307653511971e-10
separable,0,3,-15.468638623257622,-15.468638645036874,-15.468638623475401,1.4078780780561146e-11,1.3938830127315445e-09
coupled,1,0,1.7546513840231943,1.7546513875276601,1.754651384058239,1.9972419695387047e-11,1.977270941852395e-09
coupled,0,1,-1.1936842325452046,-1.19368423309703,-1.1936842325507229,4.6228746021091404e-12,4.5766477162500495e-10
coupled,2,0,35.87100868271162,35.87100869073915,35.871008682791896,2.2379386929447234e-12,2.215509785332568e-10
coupled,1,1,-5.941647757408511,-5.941647713592759,-5.941647756970355,7.374306046904763e-11,7.300600506799166e-09
coupled,0,2,2.814079593417177,2.814079589769323,2.8140795933806992,1.2962651046579379e-11,1.2833240735477286e-09
coupled,3,0,210.26794545668128,210.26794565009035,210.26794545861532,9.197980600903277e-12,9.106240044036961e-10
coupled,2,1,26.387317067125114,26.38731712410082,26.38731706769486,2.159162822404094e-11,2.137616432268981e-09
coupled,1,2,14.608866792484331,14.608866739894124,14.60886679195844,3.599815277600894e-11,3.563884609733873e-09
coupled,0,3,-33.109533800148085,-33.109533746421775,-33.10953379961083,1.6226612449893264e-11,1.6064573805281083e-09
