family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
quad,4.0,3.0,0.0,gll,coupled,0.0,constant,xxx,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,constant,xxy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,constant,xyy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,constant,yyy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xxx,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xxy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,xyy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,physical_quadratic,yyy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,x,0.9999999998426033,0.9999999998288327,1.0000000013333883
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,y,0.9999999999855398,0.999999999982347,1.0000000002525342
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,xx,0.9999999999584944,0.9999999999562861,0.9999999999300643
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,xy,1.0000000000134968,1.000000000007982,1.0000000002047467
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,yy,1.00000000000214,1.0000000000007014,0.9999999999971213
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,xxx,1.0000000000512916,1.000000000014659,1.0000000010119523
