separable,1,0,1.3055414797482248
separable,0,1,-0.88373981049800587
separable,2,0,22.44354001218959
separable,1,1,-1.5460263614728502
separable,0,2,0.71678718431283417
separable,3,0,136.71369690232953
separable,2,1,34.65221849925144
separable,1,2,2.7108345680752253
separable,0,3,-15.468638623257622
coupled,1,0,1.7546513840231943
coupled,0,1,-1.1936842325452046
coupled,2,0,35.871008682711619
coupled,1,1,-5.9416477574085107
coupled,0,2,2.8140795934171772
coupled,3,0,210.26794545668128
coupled,2,1,26.387317067125114
coupled,1,2,14.608866792484331
coupled,0,3,-33.109533800148085
